,Name,Date,Time,GICS Sub Industry
J,Jacobs Engineering Group Inc.,2020-08-03,Pre-Market,Construction & Engineering
STE,STERIS plc,2020-08-03,Post-Market,Health Care Equipment
ESS,"Essex Property Trust, Inc.",2020-08-03,Post-Market,Residential REITs
VNO,Vornado Realty Trust,2020-08-03,Post-Market,Office REITs
KLAC,KLA Corporation,2020-08-03,Post-Market,Semiconductor Equipment
GPN,Global Payments Inc.,2020-08-03,Pre-Market,Data Processing & Outsourced Services
SBAC,SBA Communications Corporation (REIT),2020-08-03,Post-Market,Specialized REITs
LEG,"Leggett & Platt, Incorporated",2020-08-03,Post-Market,Home Furnishings
NBL,"Noble Energy, Inc.",2020-08-03,Pre-Market,Oil & Gas Exploration & Production
MCK,McKesson Corporation,2020-08-03,Pre-Market,Health Care Distributors
AIV,Apartment Investment and Management Company,2020-08-03,Post-Market,Residential REITs
IR,Ingersoll Rand Inc.,2020-08-03,Post-Market,Industrial Machinery
AIG,"American International Group, Inc.",2020-08-03,Post-Market,Property & Casualty Insurance
O,Realty Income Corporation,2020-08-03,Post-Market,Retail REITs
TSN,"Tyson Foods, Inc.",2020-08-03,Estimated,Packaged Foods & Meats
EMN,Eastman Chemical Company,2020-08-03,Post-Market,Diversified Chemicals
MPC,Marathon Petroleum Corporation,2020-08-03,Estimated,Oil & Gas Refining & Marketing
CMS,CMS Energy Corporation,2020-08-03,Estimated,Multi-Utilities
CLX,The Clorox Company,2020-08-03,Estimated,Household Products
L,Loews Corporation,2020-08-03,Estimated,Multi-line Insurance
MOS,The Mosaic Company,2020-08-03,Post-Market,Fertilizers & Agricultural Chemicals
REG,Regency Centers Corporation,2020-08-03,Post-Market,Retail REITs
WMB,"The Williams Companies, Inc.",2020-08-03,Post-Market,Oil & Gas Storage & Transportation
TTWO,"Take-Two Interactive Software, Inc.",2020-08-03,Post-Market,Interactive Home Entertainment
FANG,"Diamondback Energy, Inc.",2020-08-03,Post-Market,Oil & Gas Exploration & Production
