Symbol,Company,Market Cap(M),Time,Estimate,Reported,ESP,Price Change,Date
CGC,Canopy Growth C...,"7,124",bmo,-0.29,--,-15.28%,--,8/10/2020
TLRY,"Tilray, Inc.","1,013", ,-0.27,--,0.00%,--,8/10/2020
DUK,Duke Energy Cor...,"61,368",bmo,1.04,--,-0.10%,--,8/10/2020
NBEV,New Age Beverag...,215,bmo,-0.1,--,5.26%,--,8/10/2020
OXY,Occidental Petr...,"14,636",amc,-1.66,--,1.01%,--,8/10/2020
PPL,Ppl Corporation...,"20,457",bmo,0.56,--,-1.79%,--,8/10/2020
HCHC,"Hc2 Holdings, I...",140,amc,-0.39,--,0.00%,--,8/10/2020
NVAX,"Novavax, Inc.","10,055",amc,-0.6,--,0.00%,--,8/10/2020
CCR,Consol Coal Res...,105,bmo,-0.07,--,0.00%,--,8/10/2020
AZRE,Azure Power Glo...,"1,021",--,-0.23,--,0.00%,--,8/10/2020
QLYS,"Qualys, Inc.","4,835",amc,0.64,--,0.00%,--,8/10/2020
ON,On Semiconducto...,"8,717",bmo,0.02,--,25.00%,--,8/10/2020
ACRX,Acelrx Pharmace...,92,amc,-0.14,--,40.74%,--,8/10/2020
UNIT,Uniti Group Inc...,"1,974",amc,0.5,--,0.00%,--,8/10/2020
GOLD,Barrick Gold Co...,"53,058",bmo,0.19,--,0.54%,--,8/10/2020
XPER,Xperi Holding C...,899,amc,0.56,--,0.00%,--,8/10/2020
IAC,Iacinteractivec...,NA,amc,-0.08,--,0.00%,--,8/10/2020
RCL,Royal Caribbean...,"10,371",bmo,-4.71,--,-1.06%,--,8/10/2020
SPG,Simon Property...,"20,028",amc,2.31,--,-7.67%,--,8/10/2020
NTR,Nutrien Ltd.,"20,366",amc,1.37,--,0.37%,--,8/10/2020
ANGI,Angi Homeservic...,"8,151",amc,-0.01,--,100.00%,--,8/10/2020
III,Information Ser...,99,bmo,0.05,--,0.00%,--,8/10/2020
ATHX,"Athersys, Inc.",513,amc,-0.08,--,0.00%,--,8/10/2020
MAR,Marriott Intern...,"28,298",bmo,-0.44,--,0.52%,--,8/10/2020
MELI,"Mercadolibre, I...","60,917",bmo,0.1,--,93.88%,--,8/10/2020
CARA,Cara Therapeuti...,805,amc,-0.68,--,0.00%,--,8/10/2020
CATB,Catabasis Pharm...,118,amc,-0.46,--,0.00%,--,8/10/2020
RUN,Sunrun Inc.,"5,583",amc,0.11,--,-37.50%,--,8/10/2020
AXSM,Axsome Therapeu...,"2,807",bmo,-0.54,--,0.00%,--,8/10/2020
IIN,Intricon Corpor...,101,amc,-0.29,--,0.00%,--,8/10/2020
CRMD,Cormedix Inc,113,amc,-0.24,--,0.00%,--,8/10/2020
TGTX,Tg Therapeutics...,"2,288",bmo,-0.31,--,0.00%,--,8/10/2020
CPRX,Catalyst Pharma...,427,amc,0.08,--,0.00%,--,8/10/2020
INO,Inovio Pharmace...,"3,445",amc,-0.18,--,0.00%,--,8/10/2020
NGL,Ngl Energy Part...,619,amc,-0.04,--,-100.00%,--,8/10/2020
ICPT,Intercept Pharm...,"1,583",bmo,-2.88,--,10.76%,--,8/10/2020
GSKY,"Greensky, Inc.","1,058",amc,-0.03,--,0.00%,--,8/10/2020
BRG,Bluerock Reside...,178,bmo,0.17,--,0.00%,--,8/10/2020
SAGE,Sage Therapeuti...,"2,632",bmo,-2.67,--,0.00%,--,8/10/2020
SOHO,Sotherly Hotels...,32,bmo,-0.39,--,0.00%,--,8/10/2020
CHMI,Cherry Hill Mor...,157,amc,0.3,--,-8.99%,--,8/10/2020
MCHX,"Marchex, Inc.",76,amc,-0.09,--,0.00%,--,8/10/2020
TGNA,Tegna Inc.,"2,524",bmo,0.07,--,42.86%,--,8/10/2020
ADUS,Addus Homecare...,"1,501",--,0.51,--,0.00%,--,8/10/2020
GOGO,Gogo Inc.,281,bmo,-0.89,--,0.00%,--,8/10/2020
CLAR,Clarus Corporat...,370,amc,-0.07,--,0.00%,--,8/10/2020
SEAS,Seaworld Entert...,"1,209",bmo,-1.08,--,-22.07%,--,8/10/2020
ASUR,Asure Software...,113,amc,-0.02,--,0.00%,--,8/10/2020
SPPI,Spectrum Pharma...,419,amc,-0.33,--,0.00%,--,8/10/2020
JCOM,"J2 Global, Inc....","2,834",amc,1.46,--,1.37%,--,8/10/2020
ESPR,Esperion Therap...,"1,073",amc,2.13,--,-157.22%,--,8/10/2020
GEVO,"Gevo, Inc.",9,amc,-0.25,--,40.00%,--,8/10/2020
CVGI,Commercial Vehi...,84,bmo,-0.51,--,0.00%,--,8/10/2020
NHI,National Health...,"2,784",amc,1.43,--,0.00%,--,8/10/2020
PRTS,U.s. Auto Parts...,509,amc,-0.02,--,0.00%,--,8/10/2020
FSK,Fs Kkr Capital...,"1,995",amc,0.63,--,3.17%,--,8/10/2020
TSQ,Townsquare Medi...,84,bmo,-0.37,--,0.00%,--,8/10/2020
SOGO,Sogou Inc. Spon...,"3,401",bmo,-0.02,--,0.00%,--,8/10/2020
GPMT,Granite Point M...,389,amc,0.22,--,-2.33%,--,8/10/2020
APYX,Bovie Medical C...,171,bmo,-0.15,--,0.00%,--,8/10/2020
TME,Tencent Music E...,"26,944",amc,0.09,--,0.00%,--,8/10/2020
SENS,Senseonics Hold...,102,amc,-0.1,--,0.00%,--,8/10/2020
MAG,Mag Silver Corp...,"1,551",--,-0.01,--,-42.86%,--,8/10/2020
PXS,Pyxis Tankers I...,19,--,-0.06,--,0.00%,--,8/10/2020
IFF,International F...,"13,508",amc,1.33,--,0.75%,--,8/10/2020
GARS,Garrison Capita...,53,amc,0.15,--,0.00%,--,8/10/2020
PARR,Par Pacific Hol...,399,bmo,-1.59,--,0.00%,--,8/10/2020
CWCO,Consolidated Wa...,190,--,0.12,--,0.00%,--,8/10/2020
APTS,Preferred Apart...,350,amc,0.24,--,0.00%,--,8/10/2020
CEIX,Consol Energy I...,133,bmo,-0.3,--,0.00%,--,8/10/2020
DHT,"Dht Holdings, I...",840,amc,0.82,--,4.29%,--,8/10/2020
FOLD,Amicus Therapeu...,"3,891",bmo,-0.26,--,-5.19%,--,8/10/2020
FANUY,Fanuc Corp.,"33,882",--,0.05,--,0.00%,--,8/10/2020
KHNGY,Kuehne  Nagel I...,"21,013",--,0.2,--,0.00%,--,8/10/2020
