Ticker,Name,Date,Time
HOME,At Home Group Inc.,2020-09-01,Post-Market
CDMO,"Avid Bioservices, Inc.",2020-09-01,Post-Market
CAL,"Caleres, Inc.",2020-09-01,Post-Market
HRB,"H&R Block, Inc.",2020-09-01,Post-Market
SCVL,"Shoe Carnival, Inc.",2020-09-01,Post-Market
NTNX,"Nutanix, Inc.",2020-09-01,Post-Market
SPWH,"Sportsman's Warehouse Holdings, Inc.",2020-09-02,Estimated
GES,"Guess', Inc.",2020-09-02,Estimated
LE,"Lands' End, Inc.",2020-09-02,Estimated
BRID,Bridgford Foods Corporation,2020-09-02,Estimated
KLXE,"KLX Energy Services Holdings, Inc.",2020-09-02,Post-Market
SAIC,Science Applications International Corporation,2020-09-02,Post-Market
PD,"PagerDuty, Inc.",2020-09-02,Post-Market
MDB,"MongoDB, Inc.",2020-09-02,Post-Market
ZUO,"Zuora, Inc.",2020-09-02,Post-Market
SMAR,Smartsheet Inc.,2020-09-02,Post-Market
CLDR,"Cloudera, Inc.",2020-09-02,Post-Market
FIVE,"Five Below, Inc.",2020-09-02,Post-Market
AMBA,"Ambarella, Inc.",2020-09-02,Post-Market
BF.A,Brown-Forman Corporation,2020-09-02,Pre-Market
M,"Macy's, Inc.",2020-09-02,Pre-Market
CPRT,"Copart, Inc.",2020-09-02,Post-Market
EGAN,eGain Corporation,2020-09-02,Post-Market
VRA,"Vera Bradley, Inc.",2020-09-02,Pre-Market
CULP,"Culp, Inc.",2020-09-02,Post-Market
PVH,PVH Corp.,2020-09-02,Post-Market
GWRE,"Guidewire Software, Inc.",2020-09-02,Post-Market
MTRX,Matrix Service Company,2020-09-02,Post-Market
YEXT,"Yext, Inc.",2020-09-03,Post-Market
TLYS,"Tilly's, Inc.",2020-09-03,Post-Market
DOCU,"DocuSign, Inc.",2020-09-03,Post-Market
AVGO,Broadcom Inc.,2020-09-03,Post-Market
NX,Quanex Building Products Corporation,2020-09-03,Post-Market
DOMO,"Domo, Inc.",2020-09-03,Post-Market
HOFT,Hooker Furniture Corporation,2020-09-03,Estimated
NSSC,"Napco Security Technologies, Inc.",2020-09-03,Estimated
DBI,Designer Brands Inc.,2020-09-03,Estimated
SIG,Signet Jewelers Limited,2020-09-03,Estimated
BYSI,BeyondSpring Inc.,2020-09-03,Estimated
MSON,"Misonix, Inc.",2020-09-03,Post-Market
DCI,"Donaldson Company, Inc.",2020-09-03,Estimated
OXM,"Oxford Industries, Inc.",2020-09-03,Post-Market
PDCO,"Patterson Companies, Inc.",2020-09-03,Pre-Market
BNED,"Barnes & Noble Education, Inc.",2020-09-03,Pre-Market
MIK,"The Michaels Companies, Inc.",2020-09-03,Pre-Market
DLTH,Duluth Holdings Inc.,2020-09-03,Pre-Market
GMS,GMS Inc.,2020-09-03,Pre-Market
CONN,"Conn's, Inc.",2020-09-03,Pre-Market
KFY,Korn Ferry,2020-09-03,Pre-Market
JW.A,"John Wiley & Sons, Inc.",2020-09-03,Pre-Market
MEI,"Methode Electronics, Inc.",2020-09-03,Pre-Market
GCO,Genesco Inc.,2020-09-03,Pre-Market
CPB,Campbell Soup Company,2020-09-03,Pre-Market
TTC,The Toro Company,2020-09-03,Pre-Market
CIEN,Ciena Corporation,2020-09-03,Pre-Market
COO,"The Cooper Companies, Inc.",2020-09-03,Post-Market
MEIP,"MEI Pharma, Inc.",2020-09-04,Estimated
CATO,The Cato Corporation,2020-09-04,Estimated
FIZZ,National Beverage Corp.,2020-09-04,Estimated
UBA,Urstadt Biddle Properties Inc.,2020-09-05,Estimated
USAT,"USA Technologies, Inc.",2020-09-05,Estimated
AKTS,"Akoustis Technologies, Inc.",2020-09-05,Estimated
KALV,"KalVista Pharmaceuticals, Inc.",2020-09-06,Estimated
RH,RH,2020-09-06,Estimated
SCHW,The Charles Schwab Corporation,2020-09-06,Estimated
TIF,Tiffany & Co.,2020-09-06,Estimated
HURC,"Hurco Companies, Inc.",2020-09-06,Estimated
AGX,"Argan, Inc.",2020-09-06,Estimated
EROS,Eros International Plc,2020-09-06,Estimated
JILL,"J.Jill, Inc.",2020-09-06,Estimated
