,ID,Created,User_id,User_name,User_flr,Text
220,1319828210507485184,2020-10-23 22:29:01,23074277,DailyFX,213473,GDP (Gross Domestic Product) economic data is deemed highly significant in the forex market. GDP figures are used as an indicator by fundamentalists to gauge the overall health and potential growth of a country. Learn use GDP data to your advantage here: https://t.co/38gTDn8ejP https://t.co/FBT1eSZdjF
240,1319834135935012866,2020-10-23 22:52:33,23922797,SCMPNews,785301,Is Germany about to lose patience with its Thai king guest? https://t.co/JabznPyLty
241,1319829697585422337,2020-10-23 22:34:55,23922797,SCMPNews,785301,NBA-China: Jeremy Lin can guide Houston Rockets back to Chinese hearts https://t.co/jBLTquRjXA
242,1319826124730490880,2020-10-23 22:20:43,23922797,SCMPNews,785301,China leads the industry that powers electric cars by a country mile. What will it take for global battery makers to catch up? https://t.co/dMAVW5xkQT
243,1319822088845316096,2020-10-23 22:04:41,23922797,SCMPNews,785301,"To win US-China tech race, Beijing needs to mind the talent gap https://t.co/0KpSMgwChZ"
260,1319835254681731073,2020-10-23 22:57:00,25073877,realDonaldTrump,87354120,"RT @marklevinshow: Another terrific Trump foreign policy accomplishment
https://t.co/587vGWq49G"
261,1319823733691826178,2020-10-23 22:11:13,25073877,realDonaldTrump,87354120,"If I do not sound like a typical Washington politician, it’s because I’m NOT a politician. If I do not always play by the rules of the Washington Establishment, it’s because I was elected to fight for YOU, harder than anyone ever has before! https://t.co/gsFSgh2KPc https://t.co/kNuIW02Dfc"
262,1319822464147353600,2020-10-23 22:06:11,25073877,realDonaldTrump,87354120,"...I could not sit by and watch THEM take advantage of YOU anymore. They are coming after me because I am standing in their way, and standing guard for this Country we LOVE!"
263,1319822460443750402,2020-10-23 22:06:10,25073877,realDonaldTrump,87354120,"...For years, I watched one betrayal after another, as politicians like Joe Biden sold out American Workers at every turn—shattering the lives of millions of American families while THEIR families raked in millions of dollars..."
264,1319822456480100354,2020-10-23 22:06:09,25073877,realDonaldTrump,87354120,"Joe Biden is a corrupt politician and he’s COMPROMISED. China is desperate for Biden to win because if Biden Wins, CHINA WINS – and China will OWN AMERICA. This corruption is EXACTLY why I decided to run for President in the first place..."
265,1319821396424286208,2020-10-23 22:01:56,25073877,realDonaldTrump,87354120,"For years, Joe Biden fought to cut your Social Security and Medicare—a fact which Joe falsely denied last night. This video (Joe Biden’s own words) was created by Bernie Sanders earlier this year to expose Joe Biden’s atrocious record and egregious lies! https://t.co/womMTc70RP"
321,1319836057106567169,2020-10-23 23:00:12,49616273,globaltimesnews,1899057,A Chinese mainland spokesperson on Friday said that a recent statement by the Democratic Progressive Party (DPP) authority in Taiwan on its latest arms deals with the United States is a thinly-veiled military provocation and threat against the mainland. https://t.co/u3nf5YLWYF https://t.co/pCNTIYFWTA
322,1319834843379761152,2020-10-23 22:55:22,49616273,globaltimesnews,1899057,"The issues raised by The Economist have nothing to do with human rights, ethnic groups or religion, and everything to do with fighting terrorism, separatism and extremism. Extremist forces in #Xinjiang have carried out thousands of violent attacks, the letter said. https://t.co/Vktq9QfDRn https://t.co/0ITuD6eFCt"
323,1319834475031769089,2020-10-23 22:53:54,49616273,globaltimesnews,1899057,"Articles published by The Economist on Xinjiang on October 17 made groundless accusations against China's policy and were a gross interference in #China's internal affairs, said a spokesperson for the Chinese Embassy in UK in a letter to @TheEconomist on Fri. https://t.co/krSAELHpbj"
324,1319821283131977728,2020-10-23 22:01:29,49616273,globaltimesnews,1899057,A judge in #California has rejected a request from the US Department of Justice to reverse a previous court decision allowing #WeChat to remain active in US app stores. This means the Chinese app is still allowed to operate in the US for the time being: media reports. https://t.co/1owbYopElK
381,1319828216593330177,2020-10-23 22:29:02,1626294277,spectatorindex,1757094,JUST IN: The Trump Administration is set to impose new sanctions on Iran
382,1319822695043715072,2020-10-23 22:07:06,1626294277,spectatorindex,1757094,"Coronavirus, worldwide.

Cases: 42.45 million

Deaths: 1.14 million

Recoveries: 31.42 million"
521,1319836010193321990,2020-10-23 23:00:00,18856867,zerohedge,816116,A Sordid Conspiracy To Deceive The American Electorate https://t.co/Ih8xpmykYl
522,1319830986490785792,2020-10-23 22:40:03,18856867,zerohedge,816116,"Two Decades After 9/11, Pentagon Is Providing Covert Air Support To The Taliban https://t.co/Bf8AFcVe0t"
523,1319825947877642242,2020-10-23 22:20:01,18856867,zerohedge,816116,"To Save The Stock Market, The Fed Threatens Destruction Of Trillions In Middle-Class Retirement https://t.co/k5Mwovwpnb"
641,1319821137065447429,2020-10-23 22:00:54,266082837,4xInsight,23293,RT @ProjectLincoln: Nuts! https://t.co/XxxkG43z3W
901,1319834386804690949,2020-10-23 22:53:33,1469603575,QTRResearch,137097,@tslaqpodcast @montana_skeptic Yeah. I hope the WS goes to 7 just so it’s fun to watch. But not looking like it’ll happen
902,1319833225406173184,2020-10-23 22:48:56,1469603575,QTRResearch,137097,@ProcStream @LankyFG Those are several different gyms over years
903,1319832855745363968,2020-10-23 22:47:28,1469603575,QTRResearch,137097,@tslaqpodcast This WS game is over anyway
904,1319832457781403654,2020-10-23 22:45:53,1469603575,QTRResearch,137097,"Not only do I love gis from Lanky Fight Gear @LankyFG but John the owner is a class act and has helped me so much with my jiu jitsu (last photo)

No they did not sponsor this, I just legit love their stuff

Shoot them a follow if you roll and try them out https://t.co/OWlSQMtWlu"
941,1319836046830522374,2020-10-23 23:00:09,3108351,WSJ,18134458,"Review: ""The Witches"" director Robert Zemeckis moves the story to late ’60s Alabama and dumps a cauldron’s worth of CGI on Roald Dahl’s tale https://t.co/21KEQbAlMo"
