User_name,Freq,Score,Flr
CoronaUpdateBot,280,273560,977
jeremy_hume,88,192192,2184
vmrwanda,82,72242,881
FANTASTICRADIOO,60,349020,5817
GlobalPandemics,58,1507246,25987
COVIDLive,47,32524,692
world_news_eng,40,38640,966
B1G_BAZ,36,42048,1168
WorldCOVID19,31,21142,682
poandpo,28,96964,3463
tracym81,25,3525,141
familydisaster,25,25025,1001
fehowarth,23,110562,4807.043478
viralvideovlogs,22,97042,4411
Sayitisntso5,22,2244,102
CitImmCanada,21,7803489,371594.7143
news24x75,21,5250,250
Reuters,19,429586431,22609812.16
Deeenst,19,92891,4889
mylovelypets,18,24300,1350
MattMurph24,18,561257,31180.94444
ArunThomas9847,18,13554,753
jmhamiltonblog,17,85765,5045
everycolorinc,17,29699,1747
DailyMirror,17,20762474,1221322
FOXBaltimore,17,2818838,165814
COVIDinColorado,16,38384,2399
naderehsani12,16,1600,100
_Trina_Maria_,16,23360,1460
GenXMedia,16,81840,5115
IAM__Network,15,267375,17825
Uwe27419974,15,165,11
trackntracer,15,2970,198
GemmaRooney10,15,18285,1219
corona_tweet,14,2492,178
Fuccouttahurr,14,756,54
erschadi,14,2296,164
YidBull,13,377,29
marciasgreen,13,47762,3674
GoSolar01,13,23101,1777
wbaltv11,12,3268620,272385
peacelovingrn,12,9756,813
rpujolvives,12,16020,1335
bobhillbrain,12,3984,332
SkyNews,12,78343364,6528613.667
CBS4Local,12,174816,14568
KFOX14,12,1437192,119766
BCWildfireWkly,11,17237,1567
KREM2,11,738309,67119
africanaffairs,11,11825,1075
MarsPioneer,11,4631,421
s9tmt,11,70510,6410
DelawareCOVID,10,1860,186
JMosayyeb,10,5240,524
JubileeUSA,10,18830,1883
brittanyzucker,10,14200,1420
Extra_Covid19,10,240,24
2kiwi31,10,200,20
Lisajeanapple,10,22530,2253
DiogenesQuest,10,8280,828
Harvard2H,10,10800,1080
rashidaldosari,9,20583,2287
hackneywick,9,120033,13337
unixdoss,9,153774,17086
Dorothy30901458,9,459,51
KimRHolmes2,9,2907,323
john1966olsen,9,21807,2423
DrKISEKKAMARTI2,9,666,74
AldoCaliari,9,189,21
bz80qrlXkWpoBcT,9,1233,137
Andrea37681961,9,783,87
LaxMusgrave,9,19017,2113
JohnAALogan,9,674910,74990
bahepa,9,1062,118
jurylady5,9,144351,16039
meNabster,9,231840,25760
NgospelMedia,9,2592,288
DCAbloob,9,35037,3893
All435Reps,9,13100,1455.555556
suepeac,9,38664,4296
buckleyswartz,9,2232,248
danielle_ivory,8,65800,8225
BehroozBalouch,8,4344,543
paulrogers002,8,18136,2267
OldSouthernDem,8,4072,509
EnglishSlinger,8,1288,161
AngelicaC503,8,152,19
northwind1ndn,8,12088,1511
ThisWasMash,8,5760,720
PenderynDic,8,3304,413
lanct22,8,11000,1375
DanTilkinKOIN6,8,45704,5713
EndGameWW3,8,186536,23317
AldershotYC,8,2256,282
BahangD,8,1424,178
BelTel,8,1504280,188035
TheNewsGob,8,3568,446
GovSherazKhan,8,4160,520
Pamela49986311,8,7176,897
garden4u_wa,8,10878,1359.75
Ali79596850,8,13448,1681
COVID19LiveNow,8,472,59
WMN4SRVL,8,104432,13054
marveloussrvs,8,5968,746
GilbertRanch47,8,1920,240
TurnageJohn,8,6184,773
KOINNews,8,1004240,125530
lalytatweets,8,2464,308
Fanua,8,9616,1202
SspetersonSandy,8,1232,154
CyFi10,8,41800,5225
ChuckDalldorf,8,34424,4303
boblister_poole,8,314160,39270
wjz,8,2048312,256039
AlistairGoldie,8,20880,2610
AustinLouis5,8,6472,809
ZachNewsroom,7,2590,370
rattler1978,7,2625,375
FionaCh01958269,7,1071,153
FamousPixs,7,13258,1894
social_seer,7,30618,4374
_covid_19_bot_,7,455,65
rosied929,7,2520,360
ASaidiani,7,497,71
Apex_WW,7,32004,4572
Social411Now,7,33082,4726
NECN,7,693756,99108
khmerxbxboi,7,4207,601
GadflyQuebec,7,27279,3897
CryoPerSea,7,2478,354
FranciesMary,7,4277,611
Adriana79929839,7,4333,619
PulpNews,7,34811,4973
TodayHeadline42,7,4417,631
IlhameNasirova,7,203,29
DMV_Coronavirus,7,1561,223
QueerjohnPA,7,48769,6967
Gluna21,7,4039,577
buzz_corona,7,504,72
SerendipitySays,7,13608,1944
redboybroken,7,4018,574
MaryEllenBella4,7,37618,5374
1Maesumeh1,7,3185,455
KatCapps,7,312515,44645
HKerFoockCCP,7,917,131
EstherLamarr,7,2996,428
RichFM39517086,7,17850,2550
LizDolphinfluff,7,17787,2541
MileenKirkpatr3,7,2968,424
AG2000000,7,16604,2372
BrutonSurgery,7,196,28
noybsk2017,7,16163,2309
VicGovAu,7,285131,40733
ippatsu_sendai,7,1876,268
JesseAPaul,7,67928,9704
wbalradio,7,504294,72042
ABarnardNYT,7,518679,74097
SocialistVoice,7,525819,75117
theresaboyle,7,137907,19701
CastonChris,7,14294,2042
MaryMarybrogdon,7,25158,3594
WBALPhil,7,19677,2811
NaskingKing,7,1281,183
cymaronet,7,2660,380
hermistonsports,7,1764,252
epuujee,7,18403,2629
WKBN,7,127463,18209
MusthofaaQaasim,7,10570,1510
elbowz,7,588,84
CFO_NHS,7,10206,1458
tartancobweb,7,10815,1545
janggolan,7,6881,983
hassaanhch,7,6300,900
NYDailyNews,7,5569043,795577.5714
uncleprober,7,9177,1311
AbbasFathi1367,7,5481,783
adekleine,7,6545,935
mrQuestionLinks,7,567,81
Tootyfruiiittyy,6,108,18
Iloveuarmy123,6,798,133
18ctok,6,36,6
RashellTamina,6,17376,2896
JohnSam57668631,6,3318,553
sherri_millette,6,132,22
shiremoorpotter,6,59034,9839
deewani,6,300,50
klm6446661261,6,684,114
JhaellePayne,6,0,0
Christunquote,6,2064,344
BetzMyboyblue11,6,18636,3106
Reporterroblang,6,52452,8742
MImproxyble,6,19212,3202
bprophetable,6,19344,3224
AlfieTurner2,6,1127,187.8333333
khanimambobar,6,20352,3392
Glasgow_Live,6,406962,67827
SoretaL,6,12,2
Taracallie1,6,576,96
markwrightuk88,6,16608,2768
sfchronicle,6,1449250,241541.6667
RexannaKeats,6,3694,615.6666667
Avonan,6,15126,2521
ZeljkoKisa15,6,3744,624
iveyjanette_207,6,15160,2526.666667
Rocketman_Jon,6,7398,1233
SPECNewsROC,6,474684,79114
Zeinobia,6,1518162,253027
DeirdreByrneMCM,6,3522,587
AlisynGayle,6,14484,2414
1969Human,6,3484,580.6666667
janicemorphet,6,20664,3444
FloLake,6,62454,10409
FBPETrundlelin,6,14418,2403
Michael72881081,6,36,6
TuJadili,6,20496,3416
jim_dickinson,6,47814,7969
maryhur62009222,6,3024,504
EG24NEWS,6,2616,436
TiffanyAlaniz,6,24570,4095
DrJoeMcCarthy,6,1722,287
IndigoFast,6,25716,4286
MontcoCourtNews,6,25974,4329
ExcludedHSE,6,2700,450
polytwonk,6,2304,384
27Tawnyowl,6,40908,6818
Mariebe10098426,6,27108,4518
MaryMjj3,6,1344,224
DianeMoriel,6,912,152
JoyOfDachshunds,6,2502,417
AlArabiya_Eng,6,5226226,871037.6667
Agenparl,6,36552,6092
maudlynei,6,32940,5490
LivEchoLFC,6,4365108,727518
SamanthaDoxsey,6,2406,401
Allchanges,6,35892,5982
krqelive,6,2418,403
EsterMalonda,6,486,81
CarlaCulver,6,1092,182
RhydianL92,6,1332,222
RancourtBella,6,1092,182
cater_paul,6,21180,3530
krqe,6,582432,97072
nobsan777,6,1380,230
lindafmanuel,6,8460,1410
GlobalBC,6,2172132,362022
EveylnM67,6,47616,7936
Masky_Jay_Hoody,6,8478,1413
barbc9988,6,2934,489
DrLarryBKeating,6,2922,487
suzettesms4,6,6180,1030
TheMuslimHippie,6,22974,3829
SlimSugar,6,23100,3850
deesbarbara,6,23826,3971
Jlarlat1,6,2262,377
wabisabine,6,1662,277
chicagotribune,6,6759022,1126503.667
NHWRunnymede,6,660,110
davidtomkins,6,10608,1768
UkTruth2020,6,2100,350
mig30m6,6,8046,1341
LovesMaine,6,8046,1341
SammAudusoka,6,10788,1798
moharenphoto,6,1914,319
Laurie_Garrett,6,1303958,217326.3333
100glitterstars,6,1206,201
Ajaygolmalgobi,6,7518,1253
GlobeSynergies,5,2200,440
rhtunstall,5,7877,1575.4
KevinOlivasMedi,5,12550,2510
FurySaucer,5,1110,222
CareyChristhine,5,925,185
roses4life05,5,630,126
WeAreTRR,5,45525,9105
LEX18News,5,785060,157012
SouthportReport,5,22605,4521
texhewson,5,8255,1651
heaneyp,5,4315,863
Zuperpie,5,1465,293
PaulaRaikkonen,5,225,45
1loriking,5,23055,4611
whimchic,5,11090,2218
kbplitt,5,590,118
Voltuan,5,23135,4627
SamGooman436,5,1105,221
kk111333777,5,660,132
justiceTpope1,5,4970,994
SandyKAlano,5,6110,1222
Joe_FoxNM,5,620,124
MadnessStu,5,620,124
BlueDrum2,5,4185,837
luv_wins_,5,10065,2013
dubvNOW,5,53165,10633
carrybeyond,5,19075,3815
pg_humanist,5,5105,1021
LizSzabo,5,334470,66894
WonderWoman412,5,3105,621
Dardedar,5,900,180
TheLastPersont2,5,20010,4002
Mariselamvegan,5,49330,9866
JakeWri38029870,5,20425,4085
jeffAndersonUSN,5,6065,1213
burcham_don,5,326465,65293
GlobalPHObserv,5,20450,4090
virgotweet,5,20565,4113
elliot_elraid66,5,570,114
aldo_chavez,5,12925,2585
Wrennie11,5,1380,276
Katty_Kissem,5,6035,1207
BenTDooley,5,12725,2545
Celestebyrne3,5,955,191
AlyeskaDawn,5,183260,36652
diamondhaze03,5,1240,248
ShorealoneFilms,5,24180,4836
mymcmedia,5,43225,8645
Orwelland30,5,8035,1607
podcast_kitchen,5,655,131
globalbreaking_,5,38245,7649
jrzgrlnsunshine,5,1340,268
davoodkarimi2,5,1020,204
LoditheNorwegi1,5,210,42
JaneEyreZH,5,1065,213
tuser5555,5,30860,6172
muserebel,5,595,119
SorConfidential,5,4715,943
bufallobill1981,5,650,130
HaddadEffat,5,11530,2306
SourdifJ,5,4755,951
AnneJMcKay,5,1350,270
Daily_Express,5,4321012,864202.4
BradleyCamela,5,85,17
lesismore333,5,150,30
smita093,5,565,113
LauraHennesse11,5,9000,1800
theage,5,4481925,896385
staff236,5,1805,361
OtisTheOtter1,5,5,1
kheatherbrown,5,28535,5707
mlw1492,5,25,5
Becky65432779,5,745,149
KimBru49,5,13070,2614
dth1971,5,2790,558
