,Sentiment,User_flr,Text
2020-07-09 01:01:06,-1,1392,RT @EMparadigmshift: $SE $BABA lazada blew its lead in SEA and has fired multiple CEOs while stories of in fighting persist. It is now at r…
2020-07-09 01:02:07,1,338,@realDonaldTrump delist $BABA please!  We ridin with Mr. NYFB’s and we want some tendies. If you could also give me some insider info on vaccine updates before it hits the news that would be greatly appreciated! Thank you sir!
2020-07-09 01:20:04,1,1161,$BABA call alerted on Monday !!! Boom boom 💥 in the money today !!! https://t.co/LXqlc1PSIR
2020-07-09 01:31:45,1,1,"RT @optionstradin17: ROI Recap for Neo Picks expiring July. So Far 16 picks. 4 are still undecided. Of the other 12, 11 have been winners (…"
2020-07-09 02:19:32,1,344,"RT @15minofPham: Wed (7/8/20) 52 week high highest % above the opening 30-min high &amp; trading range &gt; 80% (Min $5 &amp; Vol 750K, Option Min Vol…"
2020-07-09 02:54:10,1,315,"$NKLA long (undersize u/s) +3.3%, +5.9%, +2.2%, +0.4%, +3.7% half pos gains $BABA long (u/s) +0.8% n 0.1% gains $ACAD long (u/s) +1.4% n -0.4% $LEN long (u/s) +0.7% n 0.2% $SDS long (u/s) -0.3% loss $FTNT long +1.3% free roll held as swing $BIIB long (u/s) +0.7% n +0.2% gains"
2020-07-09 03:03:59,1,1176,"AliBaba on a tear lately

$BABA extends strong US gains in HK https://t.co/kZ8tbzRgbf"
2020-07-09 04:03:47,-1,7330,"RT @steveclapham: just got to page 200 of https://t.co/u0y9BOfRPS accounts, almost half way, written down 80 points for follow-up. Eighty!…"
2020-07-09 04:04:48,1,4024,$baba opened up 268.50 wow https://t.co/oY5lxylORa
2020-07-09 05:39:43,1,4895,"$BABA's Aroon indicator reaches into Uptrend on July 8, 2020. View odds for this and other indicators: https://t.co/Bu80UgKb5z #AlibabaGroupHoldingLtdADR #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/Txk35HdXlv"
2020-07-09 06:02:59,1,18,"@StockDweebs All Chinese stocks flew this week as government ask their citizen to buy and support economy. See $BABA. As weird as it sounds, it is like that in China. Great pick anyway!"
