,Sentiment,User_flr,Text
2020-07-09 01:23:16,1,664,Freeport-McMoRan $FCX Shares Gap Up After Analyst Upgrade https://t.co/mAL9ZA6bf4
2020-07-09 01:24:08,1,1936,Freeport-McMoRan $FCX Shares Gap Up After Analyst Upgrade  https://t.co/tb8ve9rdYC
2020-07-09 01:24:28,1,5153,Freeport-McMoRan $FCX Shares Gap Up on Analyst Upgrade https://t.co/ldPd52TT2k
2020-07-09 05:02:27,1,1936,Freeport-McMoRan $FCX PT Raised to $11.50 at Credit Suisse Group  https://t.co/Jac7Tj1Xfk
2020-07-09 05:02:33,1,2558,Freeport-McMoRan $FCX PT Raised to $14.00 at CIBC https://t.co/Y5LHxyEFt8
2020-07-09 05:03:59,1,671,Freeport-McMoRan $FCX PT Raised to $14.00 at CIBC https://t.co/F2BBKx2UkI
2020-07-09 05:04:00,1,671,Freeport-McMoRan $FCX PT Raised to $11.50 at Credit Suisse Group https://t.co/snpGFrQKcU
2020-07-09 05:39:28,1,211,Freeport-McMoRan $FCX PT Raised to $14.00 at CIBC  https://t.co/MDtchHXl7O
2020-07-09 05:40:29,-1,39189,$FCX bottom Cup Filled. Closed up. Load dips. This moves to 52 week high. $BA $NCLH $OAS $IDEX $WKHS $DAL  $SHLL $Z $BLCT $NFLX $M $DIS $SAVE $PRTY $QEP $OXY $NIO $NKLA $AAPL $BABA $USO $MRO $GE $NVDA $AMD $MSFT $TSLA $FB $AMZN $INO $INTC $CSCO $CCL $AAL $FCEL $SHOP $JCPNQ $CLWD https://t.co/rbZx6noxte
2020-07-09 05:43:18,1,2985,"RT @kirillklip: @BeyondFunds Great summary, Jeff. Thank you! 

Chart by @bulldogholmes illustrates it the best 

#Gold In The USA, Alaskan…"
2020-07-09 07:34:18,1,7358,"RT @kirillklip: @BeyondFunds Great summary, Jeff. Thank you! 

Chart by @bulldogholmes illustrates it the best 

#Gold In The USA, Alaskan…"
2020-07-09 07:38:51,1,2228,$FCX $HG  Copper prices have been tracking higher. $FCX is up over 55% in the last 3 months. https://t.co/hwPpO5N98o
2020-07-09 08:47:05,1,1416,I sold a little $FCX @ $13.05 in the pre-market. $FCX is up ~170% since its March low.
2020-07-09 12:36:10,1,1282,"No one gives a shit about $FCX. If hyperinflation takes place, this thing is an easy 2X-3X"
