,Sentiment,User_flr,Text
2020-07-09 08:33:46,-1,16,"@McDonalds I tried giving your restaurants and company  a second chance.  Even took a position in $MCD But the quality control on the past 30 days @ multiple locations (open packs of apples; half filled fries, incorrect sandwiches) is just not worth the investment."
2020-07-09 10:32:50,1,531,"$MCD gets a ""C"" grade in Accumulation. Maybe institutions are using it as a source of cash. Selling into strength.  No product promos or new launches. Chick-Fil-A winning the Chicken Sandwich wars"
2020-07-09 11:08:44,-1,5,"Losses are a part of the game, learn to take them and move on. Also, the market is nosediving. Many trade plans will have been crushed this morning (like my $MCD). Learn to protect yourself first and foremost so that these events cannot hurt you!"
2020-07-09 11:10:39,-1,61,"RT @BarracudaTradi1: $SPY +16.97% gain with CALLS. In for $1.65 at 9:48am, out for $1.93 at 10:08am

$MCD -49.23% loss with CALLS. In for $…"
2020-07-09 11:10:42,-1,61,"RT @BarracudaTradi1: Losses are a part of the game, learn to take them and move on. Also, the market is nosediving. Many trade plans will h…"
2020-07-09 11:15:52,1,927,"@vrrrrrrrrg I know lol
one furu says ""My bagel this morning was great!"" and twitter will turn that into $MCD is a buy because they sell bagels!"
2020-07-09 11:18:57,1,5952,Love this slide my ⁦@cfraresearch⁩ colleague Tuna Amobi is presenting to our clients during ongoing webinar about second half outlook. $SBUX $MCD are some restaurants inside popular #ETF $XLY. https://t.co/rJV9QJh7Gx
2020-07-09 12:10:12,-1,88,"$MCD is a misunderstood company and stock. They are not just delicious food, affordable, and recession-proof. They are also the 2nd largest landlord in the US. Check that out. #McDonalds #tyi"
2020-07-09 12:34:18,-1,344,"RT @IliketotweettoU: When There's Problems You Gotta Get To The Root Cause

$aapl $amzn $abbv $brk $ba $bhc $crm $cmg $dis $f $ge $gm $hlf…"
2020-07-09 13:43:13,-1,23,"@jack_brooklyn7 @NorthmanTrader It's also wild that since $AAPL was &lt;$150 in January 2019 virtually nothing has changed, accept maybe a few good quarters but was followed by a down earnings year.  Amazing what the market is capable of.   

Then again, $MCD has been even worse sans buybacks."
2020-07-09 13:47:00,-1,1947,$MCD Implied Volatility expiration 07/10/2020 #maxpain #options https://t.co/3XnInq4jSW https://t.co/NsQWaAnjT4
2020-07-09 15:10:35,1,1291,"@Grantmarshall47 Oh cool that’s a good way to be for sure ha. CCL is on a break and I bought with intention of holding for when they return to cruising in 2021-22, think its tons of value. Want to get $T $MCD. What are you favorites"
2020-07-09 16:03:10,1,1109,"$ARCO recovery similar to McDonald's in the USA $MCD 

Some restaurants were already positive https://t.co/mWpktkw8Xb"
2020-07-09 17:09:11,1,3,@CJ_Johnson17th I bought the $MCD call and took an L. I think that’s the first time I’ve ever seen you miss. We will win it all back! ✊🏼✊🏼
2020-07-09 17:13:59,1,721,$MCD https://t.co/ZTIcvYqTx7 Pot. resume Uptrend in a consolid INTRAWEEK 60m-15m-4m combo chart #McDonalds #Trading https://t.co/yW5hdnJ2w9
