,Sentiment,User_flr,Text
2020-07-09 00:59:01,1,18,"RT @Reveretrading: July 9 Plan 📌

*Click on Picture to Expand* 

As always, very grateful for the feedback you guys give me. Best of luck t…"
2020-07-09 01:11:10,1,18,"RT @Reveretrading: July 9 Plan 📌

*Click on Picture to Expand* 

As always, very grateful for the feedback you guys give me. Best of luck t…"
2020-07-09 01:19:30,-1,904,Clever. The phish attacks probably connect back to websites in the domain. $msft can get control of the domain and shut off the attack vector. https://t.co/fx57pXYBL0
2020-07-09 01:31:45,1,1,"RT @optionstradin17: ROI Recap for Neo Picks expiring July. So Far 16 picks. 4 are still undecided. Of the other 12, 11 have been winners (…"
2020-07-09 01:46:00,1,29,$MSFT closed in the green today. Saw a nice bounce at the 208 line. 208 looking strong. Was able to jump into more 220 calls for the 17th. Looking good. Will most likely sell before EOD tomorrow and buy back on the Friday dip!
2020-07-09 02:32:48,-1,29,RT @Beth_Kindig: FAANG is officially outdated as tech stock investors would be remiss to not have cloud in their tech portfolio. Read why c…
2020-07-09 03:17:32,-1,7793,Microsoft Co. $MSFT Sees Significant Growth in Short Interest https://t.co/lxmc6x08qQ #stocks
2020-07-09 03:19:59,-1,637,Microsoft Co. $MSFT Sees Significant Growth in Short Interest  https://t.co/axYaBONYO9
2020-07-09 05:36:10,1,4895,"$MSFT enters an Uptrend as Momentum Indicator exceeded the 0 level on June 5, 2020. View odds for this and other indicators: https://t.co/HknrDu6svV #Microsoft #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/npNyNrMmlt"
2020-07-09 07:01:02,1,150,"$MSFT Microsoft 

PT raised to $260 at Wedbush

One of the big beneficiaries of the move to the Cloud and well positioned for continued LT growth 🚀

(Very Long)

#COVID19 #stockstobuy #MicrosoftTeams https://t.co/3ZGhhPAvq3"
2020-07-09 07:06:45,1,1038,$MSFT PT raised to $260 from $220 at Wedbush
2020-07-09 07:15:47,1,49,"RT @Reveretrading: July 9 Plan 📌

*Click on Picture to Expand* 

As always, very grateful for the feedback you guys give me. Best of luck t…"
2020-07-09 07:19:57,1,110,"RT @breadboxalerts: Today's highlights including fantastic wins on $BABA and $NIO! 

25% off your 1st month

https://t.co/6ApU6Begvi

$AAPL…"
2020-07-09 07:20:19,1,193,"RT @breadboxalerts: Today's highlights including fantastic wins on $BABA and $NIO! 

25% off your 1st month

https://t.co/6ApU6Begvi

$AAPL…"
