,Sentiment,User_flr,Text
2020-07-09 01:04:01,-1,89,"$ROKU
Reaching our target 136.86 this week.
If breaks above and holds steady, this things is going to fly&gt;
All targets remain in place.

#ILMtraders #dtilmtradersROKU https://t.co/9ucdhDtjpK"
2020-07-09 01:22:21,1,241,"RT @firas_shaher: $ROKU such a beautiful chart.

Wedge break above resistance, retraced and now seems to bounce off support. Give me a stro…"
2020-07-09 02:08:32,1,6320,RT @DayTradersGroup: $ROKU Jul-10-20 117 Calls now up +92% @ 9 from @ 4.70 https://t.co/suFD93lq3W
2020-07-09 02:09:28,-1,84,RT @szaman: $ROKU Chart via @MarketSmith #IBDpartner. Expecting this range breaks out soon. https://t.co/nJ6mXAksU0
2020-07-09 02:13:34,1,17,"RT @EconomyApp: SMART Stocks Are The New FANG

I'm offering a new acronym for the next wave of  dominant technology companies leading our d…"
2020-07-09 02:14:30,1,1,RT @DayTradersGroup: $ROKU Jul-10-20 117 Calls now up +92% @ 9 from @ 4.70 https://t.co/suFD93lq3W
2020-07-09 02:26:48,-1,6320,RT @szaman: $ROKU Chart via @MarketSmith #IBDpartner. Expecting this range breaks out soon. https://t.co/nJ6mXAksU0
2020-07-09 05:19:56,1,40,"RT @firas_shaher: $ROKU such a beautiful chart.

Wedge break above resistance, retraced and now seems to bounce off support. Give me a stro…"
2020-07-09 06:47:29,1,164,"$ROKU 135 level key here shaping up nice intraday and on daily, been awhile since this had a nice ripper on 1 day https://t.co/NulolkJ7p7"
2020-07-09 07:11:44,1,26,$ROKU looking good top of the channel. PT 160-170 https://t.co/evzGt37tEg
2020-07-09 07:19:57,1,110,"RT @breadboxalerts: Today's highlights including fantastic wins on $BABA and $NIO! 

25% off your 1st month

https://t.co/6ApU6Begvi

$AAPL…"
2020-07-09 07:20:19,1,193,"RT @breadboxalerts: Today's highlights including fantastic wins on $BABA and $NIO! 

25% off your 1st month

https://t.co/6ApU6Begvi

$AAPL…"
2020-07-09 07:20:40,1,2213,"RT @breadboxalerts: Today's highlights including fantastic wins on $BABA and $NIO! 

25% off your 1st month

https://t.co/6ApU6Begvi

$AAPL…"
2020-07-09 07:20:57,1,138,"RT @breadboxalerts: Today's highlights including fantastic wins on $BABA and $NIO! 

25% off your 1st month

https://t.co/6ApU6Begvi

$AAPL…"
2020-07-09 07:22:27,1,5725,"RT @breadboxalerts: Today's highlights including fantastic wins on $BABA and $NIO! 

25% off your 1st month

https://t.co/6ApU6Begvi

$AAPL…"
2020-07-09 07:22:32,1,5725,RT @breadboxalerts: An amazing win on a swing trade on $TME for over 240% this morning! And our weekend study from our #education room on $…
2020-07-09 07:37:09,1,7,RT @T3_trading: $ROKU looking good top of the channel. PT 160-170 https://t.co/evzGt37tEg
2020-07-09 07:55:30,1,55,@PeterTrader99 Well I'm still rooting for you in $ROKU. It's ATR is near 7 so I hope it makes a run up for you today/tomorrow.
2020-07-09 08:04:11,1,2,RT @DayTradersGroup: $ROKU Jul-10-20 117 Calls now up +92% @ 9 from @ 4.70 https://t.co/suFD93lq3W
2020-07-09 08:48:09,1,1290,"RT @traderA_B: $ROKU Update - setting up for more 🚀🚀

3 day chop to form a daily bull flag above resistance  

Weekly hammer confirmed up ✅…"
2020-07-09 08:51:25,-1,141,$ROKU potentially breakout here.... If this breaks 137...it will go to 150 area.... Keep an eye on it.
2020-07-09 08:58:13,1,11929,$ROKU back to back inside days at KEY spot on all timeframes - rotation up attempt today. Closes $136+ can trigger quite the breakout here.
2020-07-09 09:00:15,1,334,"RT @firas_shaher: $ROKU such a beautiful chart.

Wedge break above resistance, retraced and now seems to bounce off support. Give me a stro…"
