,Sentiment,User_flr,Text
2020-07-09 01:02:53,1,10,$SQ up 1.4% after hours 💰💰
2020-07-09 01:27:24,1,266,"@SniperStockz Don’t dare to take $SQ Puts at all, you will blow up everything, imho"
2020-07-09 01:28:08,-1,294,The $SQ move is not that crazy. The only crazy part is it’s amidst COVID damaging small business. But before COVID it trades at only 5x sales for a company growing 40% consistently
2020-07-09 02:13:34,1,17,"RT @EconomyApp: SMART Stocks Are The New FANG

I'm offering a new acronym for the next wave of  dominant technology companies leading our d…"
2020-07-09 02:19:32,1,344,"RT @15minofPham: Wed (7/8/20) 52 week high highest % above the opening 30-min high &amp; trading range &gt; 80% (Min $5 &amp; Vol 750K, Option Min Vol…"
2020-07-09 03:32:35,1,60,Sold half my position in $SQ. Up 102%. Time to let the rest run
2020-07-09 04:01:01,1,6320,RT @kdawg52004: Sold half my position in $SQ. Up 102%. Time to let the rest run
2020-07-09 05:35:46,1,1848,"$SQ +6.2%, last 133.4 and really turning up the velocity on huge volume. https://t.co/peb2U45ylw"
2020-07-09 05:36:33,-1,260,$SQ Downgraded @ Cowen to Market Perform PT $119
2020-07-09 05:49:37,1,702,"$sq is up 300% in past three months since #coronavirus dump
From $32 to atm $133 per share"
2020-07-09 05:53:25,-1,33,Have a feeling the next pullback in the markets will be due to a wave of downgrades by the sell-side. $SQ just got downgraded to outperform. $LVGO $DDOG $SHOP
2020-07-09 06:45:40,1,1416,Square $SQ Receives Buy Rating from Rosenblatt Securities https://t.co/crwCqjn7VU
2020-07-09 07:14:30,1,9871,"@StuSim Time horizons come into it also. 

But for me, an investment doesn't have to be so 'Graham-Esque' 

My buying $CRWD . $LVGO . $SQ are speculations, i dont kid myself. 

My buying of $MGM at a price to book of 0.9 and price to sales of around 0.7 is more of an investment"
2020-07-09 07:23:33,-1,1552,Square $SQ Cut to “Market Perform” at Cowen https://t.co/BFa7GBYgPq
2020-07-09 07:24:10,-1,5153,Square $SQ Cut to “Market Perform” at Cowen https://t.co/O0UWIMQsHn
2020-07-09 07:25:47,-1,1416,Square $SQ Cut to “Market Perform” at Cowen https://t.co/skBSpyNPjO
2020-07-09 07:37:37,-1,336,$SQ short target  67
2020-07-09 07:47:48,1,611,Cowen Gives $SQ the smackdown and kills the buzz
2020-07-09 08:07:01,1,8603,"The day begins...

US equity futures are a little higher.
Strength: $BABA $JD $NIO $CCL $FFIV $CSCO $MSFT $NFLX $FCX $WMT 
Weakness: $BBBY $WBA $UAL $BAC $INTC $SQ
Have a good day 🌧️ @petenajarian https://t.co/4pIVnGtHpY"
2020-07-09 08:27:12,-1,280,$SQ Downgrade after downgrade yet the stock keeps going up. https://t.co/q9JKDu3h8X
2020-07-09 08:34:41,1,260,$SQ I was so right when I said yesterday start shoting cz bear trap im looking to buy at $105 https://t.co/wLAt69wJxu
2020-07-09 08:34:49,-1,1,$sq downgraded at Cowen
2020-07-09 08:35:16,1,2558,Square $SQ Stock Price Up 5.6% https://t.co/HKngmVrWpz
2020-07-09 08:37:59,-1,26,"$SQ like I said, we pushed to a new high yesterday and now buyers are nowhere to be found. Today Cowen downgraded the stock to market perform at $119. Looks like red day today"
2020-07-09 08:50:01,-1,1,RT @Chart_Guy: $SQ short target  67
2020-07-09 08:59:36,-1,56239,"$SQ (-0.5% pre) Cowen Downgrades Square (SQ) to Market Perform; 'Too Much, Too Fast', $119 PT

https://t.co/wbym84Btj2"
2020-07-09 09:01:21,-1,331,"SR Plan!!
GM all!
$NVDA shove/para ss
$BYND 146 hold long
$AMZN shove and backside if setup
$SNAP para
Cruise/airlines vwap dips if squeeze look to join
$BA remount strat off morning weakness, or 180 hold
$EBAY unwind/pull watch
$SQ failed rally"
2020-07-09 09:01:40,-1,29,"RT @OpenOutcrier: $SQ (-0.5% pre) Cowen Downgrades Square (SQ) to Market Perform; 'Too Much, Too Fast', $119 PT

https://t.co/wbym84Btj2"
2020-07-09 09:13:56,-1,868,"The biggest babies 👶 on wall street are big money. When they completely miss the boat on a stock like $sq, they get butt hurt and issue a “market perform” on a $134 stock and slap a $119 target on it. Super, Ill just pick up more on the way to $200."
2020-07-09 09:20:05,1,385,"https://t.co/Pj9Gu287hf
$SQ   to Calls_Bullish_Stock ($SL 20 % ).]  ="
2020-07-09 09:25:03,-1,8799,"$COST - PT raise to $298 at Deutsche Bank
$SQ - Downgrade at Cowen &amp; Co.
$BYND - PT raise to $105 at UBS
$BABA - PT raise to $275 at Needham
$REGN - Upgrade at SunTrust Robinson Humphrey"
2020-07-09 09:26:21,-1,108,"RT @rachels_44: $COST - PT raise to $298 at Deutsche Bank
$SQ - Downgrade at Cowen &amp; Co.
$BYND - PT raise to $105 at UBS
$BABA - PT raise t…"
2020-07-09 09:32:13,1,7008,"all you need to know about the market

$SQ Up $45 in a month - goes para on daily- gets downgraded and drops 62c"
2020-07-09 09:32:22,-1,35,"RT @rachels_44: $COST - PT raise to $298 at Deutsche Bank
$SQ - Downgrade at Cowen &amp; Co.
$BYND - PT raise to $105 at UBS
$BABA - PT raise t…"
2020-07-09 09:32:27,1,867,"RT @TheLincolnList: all you need to know about the market

$SQ Up $45 in a month - goes para on daily- gets downgraded and drops 62c"
2020-07-09 09:44:41,1,10,"Started two new positions in March
$MSFT and $SQ (equal weight)
Square up 88% Microsoft falling behind up only 32% 
Hmmm short term gains; or a longer term picture starting to shine through?"
2020-07-09 09:47:34,1,66,$SQ green coming
2020-07-09 09:55:30,1,294,@Joe_Benson Oh yea. Covid makes things gray and hard to forecast but $SQ is a long term winner fantastic business
2020-07-09 10:10:05,-1,7793,Square $SQ Downgraded by Cowen https://t.co/RsZxut3Lyw #stocks
2020-07-09 10:20:52,-1,74,"RT @rachels_44: $COST - PT raise to $298 at Deutsche Bank
$SQ - Downgrade at Cowen &amp; Co.
$BYND - PT raise to $105 at UBS
$BABA - PT raise t…"
2020-07-09 10:37:57,-1,87,"$SQ pulling back some after downgraded to HOLD 
...OTM puts large block yesterday."
2020-07-09 10:45:44,-1,759,RT @247WallSt: Thursday’s Top Analyst Upgrades and Downgrades Part 2: $AQUA $FSLR $HUBG $JACK $JPM $KLAC $MSFT $PNR $PLUG $REGN $SEAS $SIX…
2020-07-09 10:46:38,-1,671,Square $SQ Downgraded to “Strong Sell” at Zacks Investment Research https://t.co/IP3PxAwVyj
2020-07-09 10:54:32,-1,8479,RT @247WallSt: Thursday’s Top Analyst Upgrades and Downgrades Part 2: $AQUA $FSLR $HUBG $JACK $JPM $KLAC $MSFT $PNR $PLUG $REGN $SEAS $SIX…
2020-07-09 11:02:28,1,133,https://t.co/53KpBkC1eJ $242 profit in $SQ Removed last couple to not have this go the other way on me - good choice
2020-07-09 11:05:11,-1,23,RT @247WallSt: Thursday’s Top Analyst Upgrades and Downgrades Part 2: $AQUA $FSLR $HUBG $JACK $JPM $KLAC $MSFT $PNR $PLUG $REGN $SEAS $SIX…
2020-07-09 11:07:09,1,85,got some $SQ 120p had one of the biggest runs up lets see if we get a stronger pullback
2020-07-09 11:09:22,-1,1315,$SQ 130P 128P paid missed getting 131P and other puts filled 😂 https://t.co/GnuAvxPi3b
