,Sentiment,User_flr,Text
2020-07-09 00:59:01,1,18,"RT @Reveretrading: July 9 Plan 📌

*Click on Picture to Expand* 

As always, very grateful for the feedback you guys give me. Best of luck t…"
2020-07-09 01:04:18,1,156,"RT @vincent13031925: Tesla China Model 3 Achieves New Sales Record Of 14,954 Units, 23% Of China’s Total EV Market In June

This an incredi…"
2020-07-09 01:07:02,-1,163,"RT @chamath: After 20 yrs of building tech co’s, I have learned that these backward looking takes are ALWAYS wrong and cement more support…"
2020-07-09 01:11:10,1,18,"RT @Reveretrading: July 9 Plan 📌

*Click on Picture to Expand* 

As always, very grateful for the feedback you guys give me. Best of luck t…"
2020-07-09 01:12:59,1,650,"RT @ChrisJSaud: What is Fractional Investing?

Some brokers will let you buy a slice 🍕 of a share of a company for only a fraction of the p…"
2020-07-09 01:13:31,-1,28,"RT @WilliamNextLev1: One of these days $TSLA is going begin down -200 points.  Then stop-loss orders will kick in, to Sell.

Then algos wil…"
2020-07-09 01:17:27,1,86,"RT @vincent13031925: Tesla China Model 3 Achieves New Sales Record Of 14,954 Units, 23% Of China’s Total EV Market In June

This an incredi…"
2020-07-09 01:17:58,1,911,"RT @vincent13031925: Tesla China Model 3 Achieves New Sales Record Of 14,954 Units, 23% Of China’s Total EV Market In June

This an incredi…"
2020-07-09 01:18:31,-1,132,"@amlivemon @Klarity @TESLAcharts $TSLA price action is driven by short imploding, Chanos et al."
2020-07-09 01:18:31,1,222,"RT @vincent13031925: Tesla China Model 3 Achieves New Sales Record Of 14,954 Units, 23% Of China’s Total EV Market In June

This an incredi…"
2020-07-09 01:26:53,1,89,RT @ValueAnalyst1: I'm tired of idiots like this one claiming $TSLA's surge isn't driven by fundamentals just because they don't get it eve…
2020-07-09 01:31:45,1,1,"RT @optionstradin17: ROI Recap for Neo Picks expiring July. So Far 16 picks. 4 are still undecided. Of the other 12, 11 have been winners (…"
2020-07-09 01:32:24,1,33,"RT @vincent13031925: Tesla China Model 3 Achieves New Sales Record Of 14,954 Units, 23% Of China’s Total EV Market In June

This an incredi…"
2020-07-09 01:35:23,1,77,"RT @vincent13031925: Tesla China Model 3 Achieves New Sales Record Of 14,954 Units, 23% Of China’s Total EV Market In June

This an incredi…"
2020-07-09 01:40:02,1,8765,"$TSLA CEO Musk: Confident Tesla would attain basic functionality of level-5 autonomous driving technology - press (Tesla Inc)

- Also developing new heat projection or cooling systems to enable more advanced computers in cars
(More at https://t.co/2LZSZyckWS)"
2020-07-09 01:40:17,1,2974,"RT @Badger24: We saw it plain as day in Q1 already.  By virtue of it's vertical integration, $TSLA's business model has higher fixed costs…"
2020-07-09 01:42:27,1,53,Tesla enthusiasts invest in $TSLA -&gt; make a LOT of money -&gt; buy Tesla’s -&gt; make more money with stock -&gt; etc.
2020-07-09 01:43:56,1,128,RT @TeslaNY: “Tesla isn’t simply riding a wave of popularity that favors electric vehicles: it’s the company which created that wave.” 🏣🌊 h…
2020-07-09 01:45:35,1,257,"RT @vincent13031925: Tesla China Model 3 Achieves New Sales Record Of 14,954 Units, 23% Of China’s Total EV Market In June

This an incredi…"
2020-07-09 01:47:36,1,542,"RT @vincent13031925: Tesla China Model 3 Achieves New Sales Record Of 14,954 Units, 23% Of China’s Total EV Market In June

This an incredi…"
2020-07-09 01:48:01,-1,3817,"Tesla | $TSLA

Quantum analysis for TESLA! BloodhoundST!

Long or short it with BTC on Trade8: https://t.co/5SPvS47wiV https://t.co/aHHVobGbkz"
2020-07-09 01:53:04,-1,133,"RT @chamath: After 20 yrs of building tech co’s, I have learned that these backward looking takes are ALWAYS wrong and cement more support…"
2020-07-09 01:54:31,-1,105,"RT @trader_blitz: Tesla | $TSLA

Quantum analysis for TESLA! BloodhoundST!

Long or short it with BTC on Trade8: https://t.co/5SPvS47wiV ht…"
2020-07-09 01:57:34,1,676,"RT @vincent13031925: Tesla China Model 3 Achieves New Sales Record Of 14,954 Units, 23% Of China’s Total EV Market In June

This an incredi…"
2020-07-09 02:01:56,1,151,"RT @vincent13031925: Tesla China Model 3 Achieves New Sales Record Of 14,954 Units, 23% Of China’s Total EV Market In June

This an incredi…"
2020-07-09 02:02:09,1,366,"$TSLA solar is still fixated on leases it seems like

Meanwhile, the market for leasing solar panels is shrinking as buying solar panels becomes easier for more consumers

$TAN $VSLR $RUN $SEDG $GNRC"
2020-07-09 02:05:41,1,129,"RT @vincent13031925: Tesla China Model 3 Achieves New Sales Record Of 14,954 Units, 23% Of China’s Total EV Market In June

This an incredi…"
2020-07-09 02:08:46,1,20,"@kalz_steven Really, I don't think I'm that special. There's a reason why $TSLA is still going up despite media criticism of Musk &amp; Tesla. Anyone who puts in the effort to actually research the situation will understand how ahead Tesla is &amp; how bright its future is. 

Negativity = clicks"
2020-07-09 02:10:31,1,3073,"RT @vincent13031925: Tesla China Model 3 Achieves New Sales Record Of 14,954 Units, 23% Of China’s Total EV Market In June

This an incredi…"
2020-07-09 02:11:31,1,54,"@realDonaldTrump Can $TSLA dominate the Chinese pick up Market!? Reservations now open!

https://t.co/rjuvy7kSO8"
2020-07-09 02:14:27,1,27,"RT @vincent13031925: Tesla China Model 3 Achieves New Sales Record Of 14,954 Units, 23% Of China’s Total EV Market In June

This an incredi…"
2020-07-09 02:16:51,1,285,"RT @vincent13031925: Tesla China Model 3 Achieves New Sales Record Of 14,954 Units, 23% Of China’s Total EV Market In June

This an incredi…"
2020-07-09 02:16:58,1,120,"RT @bradsferguson: Top things $TSLA bears don't understand...
🚀1 Tesla households become 2 Tesla households. 98% satisfied owners become ""T…"
2020-07-09 02:22:31,1,101,"„Smaller“ Green Day yesterday, up +2.2k! Momentum wasn’t there so I didn’t want to push my luck. Selling $TSLA turned out to be the right move (for now)... Would love a bigger pullback for re-entry, because in my heart I am bullish on it! $SOLO $AIHS $AYRO $JRJC $XSPA $NNVC https://t.co/GOXIpO510N"
2020-07-09 02:27:30,1,598,"RT @vincent13031925: Tesla China Model 3 Achieves New Sales Record Of 14,954 Units, 23% Of China’s Total EV Market In June

This an incredi…"
