,Sentiment,User_flr,Text
2020-07-09 04:18:12,-1,5153,Walgreens Boots Alliance Inc $WBA Sees Significant Increase in Short Interest https://t.co/ZbaME7JFnL
2020-07-09 04:18:28,-1,671,Walgreens Boots Alliance Inc $WBA Sees Significant Increase in Short Interest https://t.co/CjhjqZuaED
2020-07-09 04:18:32,-1,211,Walgreens Boots Alliance Inc $WBA Sees Significant Increase in Short Interest  https://t.co/cRCWhFRn2Y
2020-07-09 04:20:40,-1,1552,Walgreens Boots Alliance Inc $WBA Sees Significant Increase in Short Interest https://t.co/fVZgOGoW8T
2020-07-09 07:03:26,1,12985,$WBA EPS Beat by 30c Revenue Beat
2020-07-09 07:06:04,-1,52236,"$WBA - Walgreens Boots EPS misses by $0.39, beats on revenue https://t.co/fU1nFQOTMU"
2020-07-09 07:07:25,1,1402,"$WBA / Walgreens Boots Alliance files form 8-K - Regulation FD Disclosure, Financial Statements and Exhibits, Results of Operations and Financial Condition -  8-K https://t.co/xDiEdD4cGR"
2020-07-09 07:09:26,-1,53,$WBA misses earnings but not terribly. Was expecting the worse in this economy. Semi positive outlook going forward #stocks #stockmarkets
2020-07-09 07:12:37,-1,977,"$WBA Accelerating Investments in Key Strategic Priorities:
1) Creating Neighborhood Health Destinations
2) Driving the Transformational Cost Management Program
3) Accelerating Digitalization
4) Transforming and Restructuring its Retail Oering"
2020-07-09 07:16:28,-1,47877,Walgreens missed on earnings. Slight beat on sales. 2020 outlook below forecasts. Dow component $WBA down 2% #premarket. But company also planning to open more doctor offices in stores through partnership with VillageMD. @aliciawallace has more on that. https://t.co/2TRyRK7DtH
2020-07-09 07:18:06,-1,559,"Walgreens ( $WBA ) misses earnings during a pandemic... long $CVS 

Similar pair trade to $DG / $DLTR https://t.co/2MP6bNsTru"
2020-07-09 07:20:24,-1,1808,"Not the quarter I was hoping for from $WBA but not a disaster either:

1 - $700-$750 million of COVID related exp... https://t.co/wNd5uY7B4S... https://t.co/wNd5uY7B4S"
2020-07-09 07:21:48,1,4151,$WBA Walgreens Boots Alliance Reports Fiscal 2020 Third Quarter Results https://t.co/o2FyQOsuk5
2020-07-09 07:22:59,1,52236,$WBA - Walgreens Boots raises dividend by 2.2% https://t.co/eiQrVSEbMZ
2020-07-09 07:24:09,-1,8032,RT @LaMonicaBuzz: Walgreens missed on earnings. Slight beat on sales. 2020 outlook below forecasts. Dow component $WBA down 2% #premarket.…
2020-07-09 07:24:11,1,11,"@chigrl This is just he beginning of earnings season. Between $PAYX, $BBBY, and $WBA...not a good start."
2020-07-09 07:24:51,1,11,"@DeItaOne This is just he beginning of earnings season. Between $PAYX, $BBBY, and $WBA...not a good start."
2020-07-09 07:30:11,1,11,"@chris05155379 @PuffDragon11 This is just he beginning of earnings season. Between $PAYX, $BBBY, and $WBA...not a good start.  Good luck."
2020-07-09 07:31:01,1,11,"@elerianm @CNBC @michaelsantoli @Apple @Microsoft This is just he beginning of earnings season. Between $PAYX, $BBBY, and $WBA...not a good start."
