,Sentiment,User_flr,Text
2020-07-09 01:31:45,1,1,"RT @optionstradin17: ROI Recap for Neo Picks expiring July. So Far 16 picks. 4 are still undecided. Of the other 12, 11 have been winners (…"
2020-07-09 01:34:12,1,188,"$DIS (7/17 120c) &amp; 7/10 ITMc ideal Greeks, $FB (7/17 ITMc), $MSFT (7/17 215c), $WMT (7/10 &amp; 7/17 OTMc both good Greeks) 2/2"
2020-07-09 05:41:08,1,4895,$WMT in Uptrend: Stochastic indicator leaves oversold zone. View odds for this and other indicators: https://t.co/4zh3CoBB47 #Walmart #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/uG2B9BydRa
2020-07-09 05:47:41,1,31,"Just a snippet from the article below. $TLSS anyone? Even if they dont partner up with $WMT there is still plenty of slices left, the trick is to not get a bite but a slice of the pie. This is where a good management team comes in. https://t.co/txF3KtiMYl https://t.co/bIPjhu3EyR"
2020-07-09 06:55:55,1,7793,Walmart’s $WMT Buy Rating Reaffirmed at Deutsche Bank https://t.co/z21UABbH6y #stocks
2020-07-09 08:03:47,1,21679,$WMT is a BUY 🚨🚨📈📈
2020-07-09 08:08:34,1,1435,"$WMT Sentiment is highly positive right now.
News mentions: positive (23), negative (2), neutral (10)
Sentiment score: +1.186 (scale of -1.5 to +1.5)
Stock alerts, news, and research tools at https://t.co/Qkw92RLxV8"
2020-07-09 08:46:32,1,239,"$NKLA jaw drop. 59 was my target. supply overhead at 61.5 

$MSFT PT increase to 280 

$WMT watch for the bullish 3 bar setup to form."
2020-07-09 09:06:32,1,75,Remember I when to said to have diamond hands on that $WMT to catch that run up through Friday? I ‘member 😎    $SPY $VXX $AMZN
2020-07-09 09:22:35,1,6320,"RT @HideNotSlide: Potential reason no. 3: Supply chain quality.

Companies that pledge to improve ESG metrics may have higher quality suppl…"
2020-07-09 09:23:06,-1,6320,"RT @desota: #Grocers urgently need to fix broken #online business model, as pandemic shifts more to web, report says https://t.co/hIxJjKrV3…"
2020-07-09 09:23:53,1,2072,"RT @HideNotSlide: Potential reason no. 3: Supply chain quality.

Companies that pledge to improve ESG metrics may have higher quality suppl…"
2020-07-09 09:27:46,1,11940,"Easy money tweet of the day $WMT 

Walmart+... announcement hasn’t hit for most people. I held Nov - Feb hoping they’d announce more and they didn’t. Delayed/Bailed. Then this past week they got a little news and a hit. 

$350B cap? Goin tf up fam. 📈👀💰"
2020-07-09 09:45:01,1,7213,Recent $WMT technical alerts: MACD Bullish Centerline Cross plus 10 more alerts... https://t.co/8dBQRHIjSR
2020-07-09 09:48:05,1,385,"https://t.co/Pj9Gu287hf
$ALT, $MTCH, $WMT   to Calls_Bullish_Stock ($SL 20 % ).]  ="
2020-07-09 09:49:05,1,691,Jus came up 200 on $aapl and 30 on $wmt small gains but I’ll take it 😅
2020-07-09 09:50:48,1,76,$wmt pushing higher 128 test!
2020-07-09 09:52:19,1,102,"What if @Walmart @WalmartLabs $WMT step up their Marketplace game, invest in fullfilment center and partner with @uber $UBER for delivery to get that 1 or 2 day shipping, partner/bought deal with @square $SQ or @stripe 4 payments modernization $WMT revenu would jump over $700B"
2020-07-09 09:53:40,-1,366,"$ROKU closed our 50% of position in $140 cals 2.20-4.07. 
$WMT closed our 50% of position in 126 cals 1.16-1.70"
2020-07-09 09:53:58,-1,11,"$WMT 127 Call JUL 10.

3/4 on the week so far Funny enough the only loss was going against my strategy.

I got %12.71 profit on my call and left a little on the table. I think it's still going to go up but this accounts small so I'm being conservative https://t.co/TENRtwm4sm"
2020-07-09 09:58:19,1,569,$WMT mooning.. +37%.. Holding.. this thing is ready to explode. Good chance for new ATHs by next week. $133+ coming.
2020-07-09 09:59:57,1,385,"https://t.co/Pj9Gu287hf
$ABT, $AMD, $COST, $INO, $SHOP, $WMT   to Calls_Bullish_Stock_Option ($SL 20%).]  ="
2020-07-09 10:01:13,1,385,"https://t.co/Pj9Gu287hf
$ETSY, $TSM, $VIPS, $WMT   to Calls_Bullish_Stock ($SL 20 % ).]  ="
2020-07-09 10:32:26,1,283,Might be done with major action this morning.  $AMD kept me busy and quite frankly still is.  Been buying and selling all morning for awesome profit!  Out of most overnights and still have some $WMT.  What a great day on $AMD from the morning watchlist!
2020-07-09 10:37:03,1,8871,"Too hard to say what $WMT will become in this amazon like era...but I am definitely excited. Great article

Is This Stock the Next Amazon? https://t.co/Nu7mLQl1AE via @edponsi"
2020-07-09 10:47:41,1,20908,"RT @rebelmarkets: Too hard to say what $WMT will become in this amazon like era...but I am definitely excited. Great article

Is This Stock…"
2020-07-09 10:50:25,-1,82,$WMT so has there been any upgrades or price targets jeeze they holding this down Tesla gets upgraded every fucking day
2020-07-09 11:04:15,1,413,Just sold 1 share of $TSLA and bought 10 shares of $WMT. Will be interesting to see what the better play is long term. Only time will tell!
2020-07-09 11:06:04,1,569,$WMT showing a TON of relative strength in here despite broad sell-off.  It'll moon if SPX dip buyers come in here..
2020-07-09 11:20:45,1,3965,RT @dannyvena: #Walmart Makes a Brilliant Move to Better Compete With #Amazon -- @themotleyfool #stocks #AmazonPrime #WalmartPlus #customer…
2020-07-09 11:47:53,1,2,RT @awful_trader: $WMT showing a TON of relative strength in here despite broad sell-off.  It'll moon if SPX dip buyers come in here..
2020-07-09 12:05:30,-1,8032,RT @LaMonicaBuzz: Amazon still seemingly rules the world. But Walmart remains a formidable competitor -- and it's about to encroach even mo…
2020-07-09 12:08:05,-1,64343,"$WMT Grocers urgently need to fix broken online business model, as pandemic shifts more to web, report says https://t.co/Vr7SMoBh0n"
2020-07-09 12:09:00,-1,768,RT @LaMonicaBuzz: Amazon still seemingly rules the world. But Walmart remains a formidable competitor -- and it's about to encroach even mo…
2020-07-09 12:11:54,1,166,"Is $WMT going to buy $ROKU soon.  
Both stocks acting like it"
2020-07-09 12:21:10,1,12,RT @winstapro: Trade with charts that will improvise your skills. Go with the simple set up - wait for your entry and exit with strict SL.…
