,User_name,Sentiment,User_flr,sText,Text
2020-06-15 20:03:39,c_labrinos,0,243,$NKERT @RAYMOND10MM: #RALLY DAY ,RT @raymond10mm: #rally day $es_f $AAPL #daytrading #marketprofile #futures $spx $nasdaq $zb_f $nq_f $cl_f $GC_f $amzn $XOM $ibm $googl $AV…
2020-06-15 20:09:55,B_Ball_Stuff,0,229,$NKE,Nike Men's Hyperdunk Basketball Shoe https://t.co/M00KyniRNc #hyperdunk #basketball #shoes $NKE
2020-06-15 21:36:31,newsfilterio,0,1981,$NKE HTTPS://T.CO/SBYDH6LDEV,Nike responds to racial protests $NKE https://t.co/SbYDH6ldEv
2020-06-15 21:38:20,ChrisTooCunning,0,216,$NKE @ ,"@_haristotle Honestly could cop a pair, sell for $4k then buy 50 shares of $NKE @ $80 lmaoo"
2020-06-15 22:29:43,Gambiste1,0,5971,$NKE @ ,"RT @ChrisTooCunning: @_haristotle Honestly could cop a pair, sell for $4k then buy 50 shares of $NKE @ $80 lmaoo"
2020-06-15 22:31:46,SuperStocksToB1,0,794,$NKE  ,(5 Best Stocks To Buy - 2020-06-16 -  $NKE  $BA  $PG  $CAT  $HD) - https://t.co/4lUUpgufyP https://t.co/6kzKsJFKhX
2020-06-15 22:38:02,SuperStocksToB1,0,794,$NKE)) - HTTPS://T.CO/EHMTVTMAHK HTTPS://T.CO/MF7NSR3W0U,(5 Best Stock To Buy – 6/16/2020 - ($AXP $GS $KO $JPM $NKE)) - https://t.co/EHmtVTmAhk https://t.co/mf7nSR3w0u
2020-06-16 03:28:12,dakotafinancial,0,1555,$NKE HTTPS://T.CO/FIPFGYAJSJ,Nike Inc Forecasted to Post Q1 2021 Earnings of $0.58 Per Share $NKE https://t.co/FiPfgYaJsJ
2020-06-16 03:28:23,dispatchtribune,0,653,$NKE HTTPS://T.CO/90JUXOQL2M,Nike Inc Forecasted to Post Q1 2021 Earnings of $0.58 Per Share $NKE https://t.co/90JuXoqL2M
2020-06-16 04:01:21,Airstarter,0,92,$NKE ,"I sold some PUT options on stocks I want to add to my portfolio at friday and monday. my favorites for this week are:

$BAC $C $NKLA $MU $MRNA $UBER $NKE $INTC

I bought also some  $VXX PUT options strike 25 and $SPY CALL option strike 305

#golemtrading"
