,Company,Ticker
0,AMERICAN AIRLINES GROUP INC.,AAL
1,"AMERICAN AXLE & MANUFACTURING, INC.",AXL
2,ANTERO RESOURCES CORPORATION,AR
3,"AVIS BUDGET GROUP, INC.",CAR
4,"AVON PRODUCTS, INC.",AVON
5,BAUSCH HEALTH COMPANIES INC.,BHC
6,"BEAZER HOMES USA, INC.",BZH
7,BOYD GAMING CORPORATION,BYD
8,CALPINE CORPORATION,CPN
9,CARNIVAL CORPORATION,CCL
10,CLEVELAND-CLIFFS INC.,CLF
11,"CSC HOLDINGS, LLC",ATUS
12,"DIAMOND SPORTS GROUP, LLC",SPG
13,DISH DBS CORPORATION,DISH
14,"GENWORTH HOLDINGS, INC.",GNW
15,"L BRANDS, INC.",LB
16,"NABORS INDUSTRIES, INC.",NBR
17,NEW ALBERTSONS L.P.,NBEV
18,R.R. DONNELLEY & SONS COMPANY,RRD
19,REALOGY GROUP LLC,RLGY
20,ROYAL CARIBBEAN CRUISES LTD.,RCL
21,SABRE HOLDINGS CORPORATION,SABR
22,SAFEWAY INC.,SWY
23,"STAPLES, INC.",SPLS
24,"TALEN ENERGY SUPPLY, LLC",TLN
25,TENET HEALTHCARE CORPORATION,THC
26,"TESLA, INC.",TSLA
27,THE GOODYEAR TIRE & RUBBER COMPANY,GT
28,TRANSDIGM INC.,TDG
29,UNITED STATES STEEL CORPORATION,X
30,UNIVISION COMMUNICATIONS INC.,UCI
31,"ADVANCED MICRO DEVICES, INC.",AMD
32,"AMKOR TECHNOLOGY, INC.",AMKR
33,APACHE CORPORATION,APA
34,"ARAMARK SERVICES, INC.",ARMK
35,ASHLAND LLC,ASH
36,AVIENT CORPORATION,AVNT
37,BALL CORPORATION,BLL
38,"CCO HOLDINGS, LLC",CCO
39,"CENTURYLINK, INC.",CTL
40,CIT GROUP INC.,CIT
41,DAVITA INC.,DVA
42,DELL INC.,DELL
43,"DELTA AIR LINES, INC.",DAL
44,FORD MOTOR COMPANY,F
45,FREEPORT-MCMORAN INC.,FCX
46,HCA INC.,HCA
47,"HD SUPPLY, INC.",HDS
48,HOWMET AEROSPACE INC.,HWM
49,IRON MOUNTAIN INCORPORATED,IRM
50,ISTAR INC.,STAR
51,KB HOME,KBH
52,KRAFT HEINZ FOODS COMPANY,KHC
53,"LAMB WESTON HOLDINGS, INC.",LW
54,LENNAR CORPORATION,LEN
55,LIBERTY INTERACTIVE LLC,IAC
56,"M.D.C. HOLDINGS, INC.",MDC
57,"MACY'S, INC.",M
58,MBIA INC.,MBI
59,"MERITOR, INC.",MTOR
60,MGIC INVESTMENT CORPORATION,MTG
61,MGM RESORTS INTERNATIONAL,MGM
62,MURPHY OIL CORPORATION,MUR
63,NAVIENT CORPORATION,NAVI
64,"NETFLIX, INC.",NFLX
65,NEWELL BRANDS INC.,NWL
66,NORBORD INC.,OSB
67,"NORDSTROM, INC.",JWN
68,NOVA CHEMICALS CORPORATION,NCX
69,"NRG ENERGY, INC.",NRG
70,OCCIDENTAL PETROLEUM CORPORATION,OXY
71,OLIN CORPORATION,OLN
72,ONEMAIN FINANCE CORPORATION,OMF
73,PG&E CORPORATION,PCG
74,PITNEY BOWES INC.,PBI
75,"PULTEGROUP, INC.",PHM
76,RADIAN GROUP INC.,RDN
77,SEALED AIR CORPORATION,SEE
78,SIRIUS XM RADIO INC.,SIRI
79,TARGA RESOURCES PARTNERS LP,TRGP
80,TEGNA INC.,TGNA
81,TEVA PHARMACEUTICAL INDUSTRIES LIMITED,TEVA
82,THE ADT SECURITY CORPORATION,ADT
83,THE AES CORPORATION,AES
84,"THE GAP, INC.",GPS
85,"T-MOBILE USA, INC.",TMUS
86,"TOLL BROTHERS, INC.",TOL
87,"UNITED AIRLINES HOLDINGS, INC.",UAL
88,"UNITED RENTALS (NORTH AMERICA), INC.",URI
89,"UNIVERSAL HEALTH SERVICES, INC.",UHS
90,VISTRA OPERATIONS COMPANY LLC,VST
91,XEROX CORPORATION,XRX
92,"YUM! BRANDS, INC.",YUM
93,BOMBARDIER INC.,BDRBF
94,"COMMUNITY HEALTH SYSTEMS, INC.",CYH
95,"K. HOVNANIAN ENTERPRISES, INC.",HOV
96,PACTIV LLC,PTV
97,RITE AID CORPORATION,RAD
98,TRANSOCEAN INC.,RIG
99,UNITI GROUP INC.,UNIT
