Symbol,CN Name,"Market Cap
(US$ mil)","IPO
Year",IPO Value (US$ mil),Sector,Lead Underwriters
BABA,Alibaba Group Holding Limited,458609,2014,21767,Business Services,"Credit Suisse, Deutsche Bank, Goldman Sachs, JP Morgan Chase, Morgan Stanley, Citigroup"
PTR*,PetroChina Company Limited,123612,2000,680,Energy,"Blackrock, Inc., JP Morgan  Chase, Citigroup, Goldman Sachs"
SNP*,China Petroleum & Chemical Corporation,104618,2000,3500,Energy,"Morgan Stanley, China International Capital Corp (CICC)"
LFC*,China Life Insurance Company Limited,76145,2003,3000,Finance,"CICC, Credit Suisse, Citigroup, Deutsche Bank"
BIDU,"Baidu, Inc.",58269,2005,109,Technology,"Goldman Sachs, Piper Jaffray, Credit Suisse"
Symbol,Name,"Market Cap
(US$ mil)","IPO
Year",IPO Value (US$ mil),Sector,Lead Underwriters
CHA*,China Telecom Corp Ltd,45565,2002,,Public Utilities,"JP Morgan Chase, Blackrock, Government of Singapore Investment Corporation"
JD,"JD.com, Inc.",37544,2014,1800,Consumer Services,"Merrill Lynch, UBS"
PDD,Pinduoduo Inc.,32727,2018,1626,Business Services,"CICC, Credit Suisse, and Goldman Sachs"
NTES,"NetEase, Inc.",29240,2000,,Business Services,Merrill Lynch and Deutsche Bank
IQ,"iQIYI, Inc.",20046,2018,2250,Consumer Services,"Goldman Sachs, Merrill Lynch, Credit Suisse"
TAL,TAL Education Group,19257,2010,120,Consumer Services,"Credit Suisse, Morgan Stanley"
CTRP,"Ctrip.com International, Ltd.",17733,2003,76,Business Services,Merrill Lynch
ZTO,ZTO Express (Cayman) Inc.,15436,2016,1406,Transportation,"Morgan Stanley, Goldman Sachs"
WB,Weibo Corporation,15249,2014,286,Technology,"Credit Suisse, Goldman Sachs"
EDU,"New Oriental Education & Technology Group, Inc.",12762,2006,113,Consumer Services,"Credit Suisse, Goldman Sachs"
HTHT,Huazhu Group Limited,10288,2010,110,Consumer Services,"Goldman Sachs, Morgan Stanley"
CEA*,China Eastern Airlines Corporation Ltd.,10032,1997,,Transportation,Morgan Stanley
ZNH*,China Southern Airlines Company Limited,9924,1997,,Transportation,Goldman Sachs
HNP*,"Huaneng Power International, Inc.",9858,1994,,Public Utilities,"CICC, Goldman Sachs, Macquarie, Morgan Stanley"
Symbol,Name,"Market Cap
(US$ mil)","IPO
Year",IPO Value (US$ mil),Sector,Lead Underwriters
MOMO,Momo Inc.,6847,2014,216,Technology,"Morgan Stanley, Credit Suisse,
J.P. Morgan, China Renaissance Securities"
ACH*,Aluminum Corporation of China Limited,5884,2001,,Basic Industries,"JP Morgan Chase, Blackrock, Goldman Sachs, Templeton Asset Management, Capital Group"
SHI*,"SINOPEC
Shangai Petrochemical Company, Ltd.",5451,1993,,Basic Industries,"Morgan Stanley, CICC"
SMI*,Semiconductor Manufacturing International Corporation,5423,2004,1712,Technology,Credit Suisse and Deutsche Bank
SINA,Sina Corporation,4689,2000,,Technology,"Morgan Stanley, CICC"
YY,YY Inc.,4662,2012,82,Technology,"Citigroup, Deutsche Bank, Morgan Stanley"
JOBS,"51job, Inc.",4425,2004,74,Technology,Morgan Stanley
VIPS,Vipshop Holdings Limited,4402,2012,72,Consumer Services,Goldman Sachs and Deutsche Bank
BILI,Bilibili Inc.,3762,2018,483,Technology,"Merrill Lynch, JP Morgan Chase, Morgan Stanley"
GDS,GDS Holdings Limited,3666,2016,193,Technology,"Credit Suisse, J.P. Morgan"
QTT,Qutoutiao Inc.,3547,2018,84,n/a,"Citigroup, Deutsche Bank"
CBPO,"China Biologic Products Holdings, Inc.",3180,2010,152,Health Care,Morgan Stanley
NOAH,Noah Holdings Ltd.,3154,2010,101,Finance,"Merrill Lynch, JP Morgan Chase"
GSH*,Guangshen Railway Company Limited,3111,1996,,Transportation,JP Morgan Chase
Symbol,Name,"Market Cap
(US$ mil)","IPO
Year",IPO Value (US$ mil),Sector,Lead Underwriters
QFIN,"360 Finance, Inc.",2318,2018,52,Finance,"AAMTD Global Markets Ltd, Citigroup Global Markets, Goldman Sachs, Haitong International Securities Co Ltd, Lighthouse Capital Inc."
BZUN,Baozun Inc.,2111,2015,110,Consumer Services,"Merrill Lynch, Credit Suisse, Morgan Stanley"
QD,Qudian Inc.,1893,2017,900,Finance,"Citigroup, CICC, Credit Suisse, Morgan Stanley, and UBS"
LX,LexinFintech Holdings Ltd.,1881,2017,108,Finance,"Deutsche Bank, Goldman Sachs, Merrill Lynch, China Renaissance Securities"
FANH,Fanhua Inc.,1683,2007,188,Finance,Morgan Stanley
ZLAB,Zai Lab Limited,1441,2017,150,Health Care,"Citigroup, JP Morgan Chase, Leerink Partners"
CSIQ,Canadian Solar Inc.,1425,2006,116,Technology,"Deutsche Bank, Lehman Brothers"
UXIN,Uxin Limited,1408,2018,225,Business Services,"CICC, China Renaissance Securities, Goldman Sachs, JP Morgan Chase, Morgan Stanley"
BEDU,Bright Scholar Education Holdings Limited,1400,2017,158,Consumer Services,"Deutsche Bank, Morgan Stanley"
BITA,Bitauto Holdings Limited,1362,2010,127,Technology,"Citigroup, UBS"
HOLI,"Hollysys Automation Technologies, Ltd.",1325,,,Energy,JP Morgan Chase
CYOU,Changyou.com Limited,1139,2009,120,Technology,"Merrill Lynch, Credit Suisse"
VNET,"21Vianet Group, Inc.",1053,2011,195,Technology,"Deutsche Bank, Goldman Sachs, Barclays"
HMI,Huami Corporation,1001,2018,110,Technology,"China Renaissance Securities, Credit Suisse, Citigroup"
JG,Aurora Mobile Limited,977,2018,77,Technology,"Credit Suisse, Deutsche Bank, Goldman Sachs"
Symbol,Name,"Market Cap
(US$ mil)","IPO
Year",IPO Value (US$ mil),Sector,Lead Underwriters
YRD,Yirendai Ltd.,852,2015,75,Finance,"China Renaissance Securities, Credit Suisse, Morgan Stanley"
EHIC,eHi Car Services Limited,839,2014,120,Consumer Services,"Deutsche Bank, Goldman Sachs, JP Morgan Chase"
HLG,Hailiang Education Group Inc.,830,2015,20,Consumer Services,Network 1 Financial Securities
JKS,JinkoSolar Holding Company Limited,821,2010,64,Technology,Credit Suisse
SOHU,Sohu.com Limited,808,2000,60,Technology,Credit Suisse
VIOT,"Viomi Technology Co., Ltd",751,2018,103,Consumer Durables,"CICC, Morgan Stanley"
SFUN,Fang Holdings Limited,657,2010,125,Technology,"Deutsche Bank, Goldman Sachs"
YI,"111, Inc.",656,2018,101,Health Care,"CICC, Citigroup, JP Morgan Chase"
TOUR,Tuniu Corporation,646,2014,72,Consumer Services,"China Renaissance Securities, Credit Suisse, Morgan Stanley"
REDU,RISE Education Cayman Ltd,594,2017,160,Consumer Services,"Credit Suisse, Morgan Stanley"
NIU,Niu Technologies,564,2018,63,Capital Goods,"Citigroup, Credit Suisse"
DQ,"DAQO New
Energy Corp.",513,2010,76,Technology,Morgan Stanley
WINS,Wins Finance Holdings Inc.,510,2014,,Finance,"Deutsche Bank, Goldman Sachs, JP Morgan Chase"
TC,TuanChe Limited,499,2018,20,Business Services,"AMTD Global Markets, Maxim Group"
YIN,Yintech Investment Holdings Limited,489,2016,101,Finance,Jefferies LLC
KNDI,"Kandi Technologies Group, Inc.",464,2013,28,Capital Goods,FT Global Capital
Symbol,Name,"Market Cap
(US$ mil)","IPO
Year",IPO Value (US$ mil),Sector,Lead Underwriters
SVA,"Sinovac Biotech, Ltd.",460,,,Health Care,
SECO,Secoo Holding Limited,430,2017,111,Consumer Services,Jefferies LLC
PT,Pintec Technology Holdings Limited,390,2018,44,Technology,"Citigroup, Deutsche Bank, Goldman Sachs"
TEDU,"Tarena International, Inc.",352,2014,138,Consumer Services,"Credit Suisse, Goldman Sachs"
NTP,Nam Tai Property Inc.,338,1991,,Finance,
XIN,Xinyuan Real Estate Co Ltd,325,2007,245,Basic Industries,Merrill Lynch
CMSS,CM Seven Star Acquisition Corporation,270,2017,180,Consumer Durables,EarlyBirdCapital
XNET,Xunlei Limited,269,2014,88,Technology,"Citigroup, JP Morgan Chase"
FENG,Phoenix New Media Limited,262,2011,140,Consumer Services,"Deutsche Bank, Macquarie Capital, Morgan Stanley"
DL,China Distance Education Holdings Limited,242,2008,61,Consumer Services,"Merrill Lynch, Citigroup"
CCRC,"China Customer Relations Centers, Inc.",194,2015,10,Business Services,"Newbridge Securities, ViewTrade Securities"
GRNQ,Greenpro Capital Corp.,184,2014,1,Technology,Self-underwritten
DNJR,GOLDEN BULL LIMITED,183,2018,6,Finance,ViewTrade Securities
CLPS,"CLPS
Incorporation",178,2018,11,Technology,"Cuttone & Co., Benchmark Co."
PME,Pingtan Marine Enterprise Ltd.,177,2011,50,n/a,Deutsche Bank
Symbol,Name,"Market Cap
(US$ mil)","IPO
Year",IPO Value (US$ mil),Sector,Lead Underwriters
HX,Hexindai Inc.,167,2017,50,Finance,Network 1 Financial Securities
UTSI,UTStarcom Holdings Corp,144,2000,180,Consumer Durables,"Bank of America Securities, Merrill Lynch, Piper Jaffray"
AMBO,Ambow Education Holding Ltd.,137,2018,8,Consumer Services,Benchmark Company
COE,China Online Education Group,134,2016,46,Consumer Services,"Credit Suisse, Morgan Stanley"
CCM,Concord Medical Services Holdings Limited,130,2009,132,Health Care,"CICC, JP Morgan Chase, Morgan Stanley"
BRQS,"Borqs Technologies, Inc.",130,2015,50,Technology,EarlyBirdCapital
CXDC,China XD Plastics Company Limited,126,2007,20,Capital Goods,Rodman & Renshaw
SXTC,"China SXT Pharmaceutica ls, Inc.",119,2019,10,Health Care,"Boustead Securities, LLC"
GSUM,Gridsum Holding Inc.,114,2016,87,Technology,"Citigroup, Goldman Sachs"
RENN,Renren Inc.,103,2011,743,Technology,"Merrill Lynch, Deutsche Bank, Morgan Stanley"
MTC,"MMTec, Inc.",101,2019,7,n/a,Westpark Capital
CAAS,"China Automotive Systems, Inc.",99,2003,,Capital Goods,
DOGZ,Dogness (International) Corporation,91,2017,55,Consumer Durables,Spartan Securities
AIHS,Senmiao Technology Limited,84,2018,12,Finance,ViewTrade Securities
Symbol,Name,"Market Cap
(US$ mil)","IPO
Year",IPO Value (US$ mil),Sector,Lead Underwriters
BCAC,Bison Capital Acquisition Corp.,84,2017,53,Health Care,EarlyBirdCapital
SGOC,"SGOCO Group, Ltd",83,2008,32,Technology,"Broadband Capital Management, Chardan Capital Markets"
ATV,"Acorn International, Inc.",77,2007,119,Consumer Services,"Merrill Lynch, Deutsche Bank"
SOL,Renesola Ltd.,74,2008,130,Technology,"Credit Suisse, Deutsche Bank"
NEWA,"Newater Technology, Inc.",73,2017,7,Basic Industries,ViewTrade Securities
JMU,JMU Limited,71,2015,40,Technology,Axiom Capital Management
DTSS,Datasea Inc.,71,2017,7,Technology,ViewTrade Securities
DXF,Dunxin Financial Holdings Limited,67,2010,88,Consumer Non-Durables,Cowen and Co.
TMSR,TMSR Holding Company Limited,64,2015,50,Finance,Cantor Fitzgerald & Co.
CJJD,"China Jo-Jo Drugstores, Inc.",62,,,Consumer Durables,
SORL,"SORL Auto Parts, Inc.",60,2006,31,Capital Goods,Maxim Group
BIMI,NF Energy Saving Corporation,60,,,Capital Goods,
GLAC,Greenland Acquisition Corporation,58,2018,40,Finance,Chardan Capital Markets
KGJI,Kingold Jewelry Inc.,55,1999,23,Business Services,"JMP Securities, Rodman & Renshaw"
EVK,"Ever-Glory International Group, Inc.",54,,,Consumer Non-Durables,
Symbol,Name,"Market Cap
(US$ mil)","IPO
Year",IPO Value (US$ mil),Sector,Lead Underwriters
HPJ,Highpower International Inc,53,2008,8,Industrial Machinery/Co mponents,Westpark Capital
LOAC,Longevity Acquisition Corporation,53,2018,40,Finance,Cantor Fitzgerald & Co.
LITB,"LightInTheBox Holding Co., Ltd.",48,2013,79,Consumer Services,"Credit Suisse, Stifel Nicolaus & Co."
TANH,Tantech Holdings Ltd.,48,2015,13,Basic Industries,"Newbridge Securities, ViewTrade Securities"
GURE,"Gulf Resources, Inc.",47,,,Basic Industries,
HGSH,"China HGS Real Estate, Inc.",47,2006,,Finance,
TAOP,Taoping Inc.,47,,0,Technology,
MDJH,MDJM LTD,47,2019,6,Finance,Network 1 Financial Securities
FORK,Fuling Global Inc.,46,2015,20,Consumer Non-Durables,"Burnham Securities, Network 1 Financial Securities"
RETO,"ReTo Eco- Solutions, Inc.",45,2017,14,Capital Goods,ViewTrade Securities
PHCF,"PUHUI WEALTH INVESTMENT MANAGEMEN T CO., LTD.",43,2018,12,Finance,"Joseph Stone Capital LLC, Windsor Street Capital L.P."
FAMI,"FARMMI, INC.",37,2018,7,Consumer Non-Durables,ViewTrade Securities
MOXC,"Moxian, Inc.",34,2016,20,Technology,"Axiom Capital Management, Cuttone & Co."
CCIH,ChinaCache International Holdings Ltd.,31,2010,84,Technology,"Merrill Lynch, Deutsche Bank"
CBAT,"CBAK Energy Technology, Inc.",30,,,Industrial Machinery/Co mponents,
CIFS,China Internet Nationwide,28,2017,20,Consumer Services,"Boustead Securities, Network 1 Financial Securities"
Symbol,Name,"Market Cap
(US$ mil)","IPO
Year",IPO Value (US$ mil),Sector,Lead Underwriters
,Financial Services Inc.,,,,,
AMCN,AirMedia Group Inc,28,2007,225,Technology,"Lehman Brothers, Morgan Stanley"
JRJC,China Finance Online Co. Limited,27,2004,81,Finance,JP Morgan Chase
FTFT,Future FinTech Group Inc.,27,,,Consumer Non-Durables,
ATAI,ATA Inc.,26,2008,46,Consumer Services,Merril Lynch
LLIT,Lianluo Smart Limited,25,2010,12,Health Care,Anderson & Strudwick
CNET,"ChinaNet Online Holdings, Inc.",24,,,Technology,
ZKIN,"ZK
International Group Co., Ltd",23,2017,5,Capital Goods,Boustead Securities
BORN,China New Borun Corporation,23,2010,40,Consumer Non-Durables,Piper Jaffray
NCTY,The9 Limited,22,2004,103,Business Services,"Bear Stearns, CLSA Limited"
CGA,"China Green Agriculture, Inc.",21,2008,,Basic Industries,
RCON,"Recon Technology, Ltd.",21,2009,10,Energy,Anderson & Strudwick
SSLJ,SSLJ.com Limited,19,2018,20,Finance,Boustead Securities
BIQI,"Renmin Tianli Group, Inc.",19,2010,12,Consumer Non-Durables,Anderson & Strudwick
SPI,"SPI Energy Co., Ltd.",17,2007,19,Technology,Self-underwritten
MYT,"Urban Tea, Inc.",17,2012,400,,Chardan Capital Markets
Symbol,Name,"Market Cap
(US$ mil)","IPO
Year",IPO Value (US$ mil),Sector,Lead Underwriters
LYL,Dragon Victory International Limited,17,2017,9,Finance,"Boustead Securities, Network 1 Financial Securities"
