UserName,PressName
nytimes,The New York Times
washingtonpost,The Washington Post
business,Bloomberg
Reuters,Reuters
MSNBC,MSNBC
CNN,CNN
FoxNews,Fox News
FirstSquawk,First Squawk
BBCWorld,BBC News (World)
ABC,ABC News
CBSNews,CBS News
BostonGlobe,The Boston Globe
chicagotribune,Chicago Tribune
USATODAY,USA TODAY
latimes,Los Angeles Times
NBCNews,NBC News
NYDailyNews,New York Daily News
nypost,New York Post
AppleNews,Apple News
WSJ,The Wall Street Journal
guardiannews,Guardian news
AFP,AFP news agency
XHNews,China Xinhua News
globaltimesnews,Global Times
SCMPNews,South China Morning Post
barronsonline,Barron's
CNBC,CNBC
