Ticker,Ticker,Name,Date,Time,Company
RRGB,RRGB,"Red Robin Gourmet Burgers, Inc.",2020-05-24,Estimated,RED ROBIN GOURMET BURGER
AFMD,AFMD,Affimed N.V.,2020-05-24,Estimated,AFFIMED NV
THR,THR,"Thermon Group Holdings, Inc.",2020-05-24,Estimated,THERMON GROUP HLDGS INC
AZO,AZO,"AutoZone, Inc.",2020-05-26,Estimated,AUTOZONE INC
HIBB,HIBB,"Hibbett Sports, Inc.",2020-05-26,Estimated,HIBBETT SPORTS INC
HEI,HEI,HEICO Corporation,2020-05-26,Estimated,HEICO CORP COMMON
BAH,BAH,Booz Allen Hamilton Holding Corporation,2020-05-26,Estimated,BOOZ ALLEN HAMILTON HLDG
AMWD,AMWD,American Woodmark Corporation,2020-05-26,Estimated,AMERICAN WOODMARK CORP
CVCO,CVCO,"Cavco Industries, Inc.",2020-05-26,Estimated,CAVCO INDUSTRIES INC
CBL,CBL,"CBL & Associates Properties, Inc.",2020-05-26,Estimated,CBL & ASSOC PPTYS INC
STRS,STRS,Stratus Properties Inc.,2020-05-26,Estimated,STRATUS PPTYS INC
PLAN,PLAN,"Anaplan, Inc.",2020-05-26,Estimated,ANAPLAN
OOMA,OOMA,"Ooma, Inc.",2020-05-26,Estimated,OOMA INC
KEYS,KEYS,"Keysight Technologies, Inc.",2020-05-26,Estimated,KEYSIGHT TECHNOLOGIES
VSAT,VSAT,"Viasat, Inc.",2020-05-26,Estimated,VIASAT INC
NTAP,NTAP,"NetApp, Inc.",2020-05-27,Estimated,NETAPP INC
USAT,USAT,"USA Technologies, Inc.",2020-05-27,Estimated,USA TECHNOLOGIES INC
UHAL,UHAL,AMERCO,2020-05-27,Estimated,AMERCO
COHR,COHR,"Coherent, Inc.",2020-05-27,Estimated,COHERENT INC
SMTC,SMTC,Semtech Corporation,2020-05-27,Estimated,SEMTECH CORP
PLT,PLT,"Plantronics, Inc.",2020-05-27,Estimated,PLANTRONICS INC
ADSK,ADSK,"Autodesk, Inc.",2020-05-27,Estimated,AUTODESK INC
SPTN,SPTN,SpartanNash Company,2020-05-27,Estimated,SPARTANNASH COMPANY
PLAB,PLAB,"Photronics, Inc.",2020-05-27,Estimated,PHOTRONICS INC
TOL,TOL,"Toll Brothers, Inc.",2020-05-27,Estimated,TOLL BROTHERS INC
DAKT,DAKT,"Daktronics, Inc.",2020-05-27,Estimated,DAKTRONICS INC
QADA,QADA,QAD Inc.,2020-05-27,Estimated,QAD INC
NTNX,NTNX,"Nutanix, Inc.",2020-05-27,Estimated,NUTANIX INC
HPQ,HPQ,HP Inc.,2020-05-27,Estimated,HP INC
RTW,RTW,"RTW Retailwinds, Inc.",2020-05-27,Estimated,RTW RETAILWINDS INC
BOX,BOX,"Box, Inc.",2020-05-27,Estimated,BOX INC
