,EST,User_name,Text,Sentiment,Created,User_flr
2020-05-14 01:21:48,2020-05-14 01:21:48-04:00,B_BilI_A,RT @zakirahmad016: Good Morning to all https://t.co/TSQ3lO99ZC,1,2020-05-14 05:21:48,734
2020-05-14 02:20:19,2020-05-14 02:20:19-04:00,B_BilI_A,"RT @B_Bill_A: On This Day in 629, The Conquest of Makkah (commonly known as Fatah-e-Makkah) took place under the leadership of The Holy Pro…",1,2020-05-14 06:20:19,734
2020-05-14 04:25:50,2020-05-14 04:25:50-04:00,B_BilI_A,"#کام_کو_چلو_کورونا_سے_بچو 
Avoid close contact with people who are sick. Some people without symptoms may be able to spread the virus.
Stay home as much as possible and avoid non-essential travel.",1,2020-05-14 08:25:50,734
2020-05-14 04:53:18,2020-05-14 04:53:18-04:00,B_BilI_A,"#کام_کو_چلو_کورونا_سے_بچو 
People across Pakistan crowded markets on Monday after they opened up for the first time in over a month as the nationwide lockdown was eased despite a rise in the rate of coronavirus infections. https://t.co/em7kgWxNlr",1,2020-05-14 08:53:18,734
2020-05-14 05:03:52,2020-05-14 05:03:52-04:00,B_BilI_A,"#کام_کو_چلو_کورونا_سے_بچو 
The minister briefed the premier about the matters pertaining to opening up different industries, its impact on the industrial process in the wake of coronavirus and future line of action.",1,2020-05-14 09:03:52,734
2020-05-14 05:22:15,2020-05-14 05:22:15-04:00,B_BilI_A,RT @KingOfRingMHT: Beautiful Balochistan #کام_کو_چلو_کورونا_سے_بچو https://t.co/VZcVcxlE9h,1,2020-05-14 09:22:15,734
2020-05-14 05:26:33,2020-05-14 05:26:33-04:00,ladadiiii,GUYS BILI NAAAAA OMG SUPER BUDGET FRIENDLY AND @LILAC_PH IS ONE OF THE TRUSTED SHOP HERE SA TWITTER 🤗✊ https://t.co/4ec3qZmwrD,1,2020-05-14 09:26:33,759
2020-05-14 05:29:19,2020-05-14 05:29:19-04:00,B_BilI_A,"RT @JKhaqsar: #شہباز_مجاں_والا
To this day, their leaders have not been able to decide whether their father was rich or poor
 Couldn't deci…",1,2020-05-14 09:29:19,734
2020-05-14 05:52:08,2020-05-14 05:52:08-04:00,B_BilI_A,"RT @Malika_Ahmed1: People's cooperation is required for the success of lifting of lockdown.
#کام_کو_چلو_کورونا_سے_بچو https://t.co/muC6WeYH…",1,2020-05-14 09:52:08,734
2020-05-14 07:42:03,2020-05-14 07:42:03-04:00,simonstradeinc,Bilibili Inc #NASDAQ $BILI looks good to me. https://t.co/j2oOrGmZF2,1,2020-05-14 11:42:03,139
2020-05-14 07:56:09,2020-05-14 07:56:09-04:00,Investidea1,$DMLRY Daimler Mercedes Benz PT $25 sees increase in demand in China Daimler owns 5% in $ARGGY Aston Martin which will be better than $RACE Ferrari https://t.co/zOXtoiwu6h $CMCSA $T $SNE $MSG $DIS $BILI $XIN $F $GM $AML $NIO $CAR $CARS $FCAU $RACE $FWONA $FWONK,1,2020-05-14 11:56:09,192
2020-05-14 08:00:02,2020-05-14 08:00:02-04:00,RobotConsumer,"RT @Investidea1: $SNE Sonyoversold great time to add many options on able buyback is 1 , recent  investment in $BILI working well #PS5 laun…",1,2020-05-14 12:00:02,2312
2020-05-14 08:48:39,2020-05-14 08:48:39-04:00,B_BilI_A,RT @B_Bill_A: We can never thank enough families of our shuhada for their great sacrifice. It’s our duty to stay connected with them and we…,1,2020-05-14 12:48:39,734
2020-05-14 09:25:44,2020-05-14 09:25:44-04:00,CarseXII,"bili na kayo! made from mahogany and kamagong realness 🥰🌳 authentically made in the 🇵🇭 perfect for studying in coffee shops like starbucks, coffee bean, etc. ☕️ https://t.co/s3jtQlMXJ1 https://t.co/pnQy83c78n",1,2020-05-14 13:25:44,260
2020-05-14 13:48:50,2020-05-14 13:48:50-04:00,B_BilI_A,"RT @M__Maaz: Lives are more precious then working , Three corona positive cases reported in Tax office Gujranwala. please government will t…",1,2020-05-14 17:48:50,734
2020-05-14 13:49:07,2020-05-14 13:49:07-04:00,B_BilI_A,RT @M__Maaz: Three corona positive cases found in Gujranwala Tax office. There almost more than 8 hundred staff members are working. If the…,1,2020-05-14 17:49:07,734
2020-05-14 13:52:11,2020-05-14 13:52:11-04:00,B_BilI_A,"RT @DrAhmerOfficia1: #شہباز_مجاں_والا

There is a strong appeal to the captain that Nawaz Sharif, who fled to London under the pretext of i…",1,2020-05-14 17:52:11,734
2020-05-14 13:52:42,2020-05-14 13:52:42-04:00,B_BilI_A,"RT @suraiyahuss: Leadership should be like a 
Lighthouse ..unwavering
assuring, constant and most of all
a bearer of light to show the way…",1,2020-05-14 17:52:42,734
2020-05-14 14:15:46,2020-05-14 14:15:46-04:00,HeyCierra,"@InvestAfterFI Big believer of $BILI considering the huge GenZ market in China. Explosion of premium users &amp; overall subscriptions during downturn. M&amp;A moves. Partnerships with $SONY, $BABA etc opens up more doors.",1,2020-05-14 18:15:46,690
