,EST,User_name,Text,Sentiment,Created,User_flr
2020-05-17 02:37:30,2020-05-17 02:37:30-04:00,B_BilI_A,"RT @NabTheDentist: Never expected dis from Murad Saeed

RT if U r shocked 
 #SaturdayMotivation https://t.co/bt3rxfRj07",-1,2020-05-17 06:37:30,734
2020-05-17 04:28:56,2020-05-17 04:28:56-04:00,kity_Bili,"RT @binte_BaloCh: If the india media exposed the blood wanting RSS agenda on time, then they will be a peace in india, and the muslim commu…",-1,2020-05-17 08:28:56,1314
2020-05-17 08:50:15,2020-05-17 08:50:15-04:00,zesgnzls,"i just found out what my weakness is...

""ate, bili tayo album. HATI TAYO"" 🥺",-1,2020-05-17 12:50:15,582
2020-05-17 10:03:23,2020-05-17 10:03:23-04:00,B_BilI_A,"RT @B_Bill_A: Sindh's people love for Pakistan is forever, sindh's people have a passion for sacrificing their lives for their homeland and…",-1,2020-05-17 14:03:23,734
2020-05-17 10:03:50,2020-05-17 10:03:50-04:00,B_BilI_A,RT @B_Bill_A: There are still challenges facing Pakistan but not as much as we have passed through in recent past. To continue the journey…,-1,2020-05-17 14:03:50,734
2020-05-17 10:46:32,2020-05-17 10:46:32-04:00,bili_ntuli27,@Madee6 I ain’t got no type ! Bad b**** is the only thing that I like,-1,2020-05-17 14:46:32,263
2020-05-17 10:58:52,2020-05-17 10:58:52-04:00,Im_Bili,"RT @rogerlovetaylor: 𝐠𝐨𝐨𝐝 𝐧𝐢𝐠𝐡𝐭 𝐟𝐫𝐞𝐝𝐝𝐢𝐞 𝐰𝐞 𝐥𝐨𝐯𝐞 𝐲𝐨𝐮

i miss you so much... we love you forever and send love ❤️ https://t.co/2HC0B7Z1Bl",-1,2020-05-17 14:58:52,335
2020-05-17 11:02:55,2020-05-17 11:02:55-04:00,Mauita_Maldita,"THERE WILL BE NO PROBLEM IF THEY WILL SKIP THIS SCHOOL YEAR. SAFETY FIRST.

We all know that this Pandemic is not a joke.
Online Class will do BUT PAYMENT IS A MUST FOR THE SCHOOL. 

Sakit ing bili🙉🤦‍♂️
Scholar po ako that is why ganto kasakit",-1,2020-05-17 15:02:55,173
2020-05-17 11:47:14,2020-05-17 11:47:14-04:00,bili_ntuli27,😂😂😂🤣 wooh it’s late here ! https://t.co/ySglT9mnjK,-1,2020-05-17 15:47:14,263
2020-05-17 16:23:41,2020-05-17 16:23:41-04:00,CAAPSorg,"@Danny_PTJ @RyanAFournier You apparently don't understand how to write. Although, creative in your approach, it was very annoying &amp; hurt my eyes to read. I wonder how many people even attempted to read you after the first sentence in which ""Bill"" looks like 'bili' since cap 'I' looks like lower 'l' (ell)",-1,2020-05-17 20:23:41,3422
