,EST,User_name,Text,Sentiment,Created,User_flr
2020-05-10 13:25:04,2020-05-10 13:25:04-04:00,OptionAlarm,"With past performance like this, how can you not sign up for a Free 7-day trial to https://t.co/pJsIlalxhe? Winning Option Swing Trades Since 2006  $WYNN $WMT $AMD $INTC",1,2020-05-10 17:25:04,2945
2020-05-10 13:39:38,2020-05-10 13:39:38-04:00,susieqlaw,"Enjoy $10 off your first order from Walmart Grocery.
https://t.co/ofV9SkIEhc",1,2020-05-10 17:39:38,900
2020-05-10 13:44:54,2020-05-10 13:44:54-04:00,wilsonalcala,"Enjoy $10 off your first order from Walmart Grocery.
https://t.co/FE8tWmsQ3H",1,2020-05-10 17:44:54,1746
2020-05-10 14:56:47,2020-05-10 14:56:47-04:00,thedatagap,"@firstadopter @Retail_Guru @JeffMacke how much is e-commerce growing right now because of the shift from offline to online? What % of Costco, Best Buy, Target, WMT's sales are offline moving to curbside pickup and online? 
-&gt; The retailers are not necessarily benefitting. Pure ecomm is.",1,2020-05-10 18:56:47,113
2020-05-10 15:32:46,2020-05-10 15:32:46-04:00,jenchidgey,"Enjoy $10 off your first order from Walmart Grocery.
https://t.co/jG0eP8iD45 Kaylee for did an amazing job!",1,2020-05-10 19:32:46,158
2020-05-10 16:33:45,2020-05-10 16:33:45-04:00,diegueno,Wouldn't it be great if @Walmart printed this on the back of employees' vests? One employee and few customers could use this explanation about #coronavirus contagion. $WMT https://t.co/f4JemaHIPS,1,2020-05-10 20:33:45,735
2020-05-10 17:25:03,2020-05-10 17:25:03-04:00,OptionAlarm,"With past performance like this, how can you not sign up for a Free 7-day trial to https://t.co/jVYG3kROmw? Winning Option Swing Trades Since 2006  $AMZN $AAPL $WMT $NFLX",1,2020-05-10 21:25:03,2945
2020-05-10 20:48:41,2020-05-10 20:48:41-04:00,DividendGrowth,@retirebyforty I like your twist to the story. I own more $TGT than $WMT. You are a very good cook - based off what you post,1,2020-05-11 00:48:41,14798
2020-05-10 21:46:11,2020-05-10 21:46:11-04:00,aaaamhim,"$ITOX flying under the radar, easy triple from this price✈🛒
$RDUS $UTHR $PTLA $ALDR $OPK $GLPG $ARWR $ONCS $MTEM $SGYP $NEPT $ASMB $JNJ $MRK $AAPL $GOOG $INTC $CLDX $MSFT $CMCSA $PFE $MU $NFLX $NOK $XO $DIS $NVDA $BAC $AMD $WMT $CHK $AKS $VZ $CTL $FCX $T $JPM $WFT $BIDU $HPQ $F https://t.co/oyMKw6zSIO",1,2020-05-11 01:46:11,17197
2020-05-11 00:16:45,2020-05-11 00:16:45-04:00,StimulusPKG822,"$MARK $WMT Sharecare + Walmart
""We are pleased to partner with Tongyue to add Smart AI capabilities to their Medical Robot geared towards detecting diseases among kindergarten students before it spreads. This feature comp... https://t.co/GTrFsm1rqD https://t.co/ZEfKNZcxv6",1,2020-05-11 04:16:45,2521
2020-05-11 00:20:00,2020-05-11 00:20:00-04:00,JameswildOTC,"RT @StimulusPKG822: $MARK $WMT Sharecare + Walmart
""We are pleased to partner with Tongyue to add Smart AI capabilities to their Medical Ro…",1,2020-05-11 04:20:00,738
2020-05-11 00:37:53,2020-05-11 00:37:53-04:00,Gambiste1,"RT @StimulusPKG822: $MARK $WMT Sharecare + Walmart
""We are pleased to partner with Tongyue to add Smart AI capabilities to their Medical Ro…",1,2020-05-11 04:37:53,4933
2020-05-11 00:39:01,2020-05-11 00:39:01-04:00,Guano146,"RT @StimulusPKG822: $MARK $WMT Sharecare + Walmart
""We are pleased to partner with Tongyue to add Smart AI capabilities to their Medical Ro…",1,2020-05-11 04:39:01,202
2020-05-11 00:53:35,2020-05-11 00:53:35-04:00,newsfilterio,Target in talks to boost its same-day delivery ambitions by buying pieces of startup Deliv $TGT $AMZN $WMT $UPS $GOOGL https://t.co/gIrktPtene,1,2020-05-11 04:53:35,1054
2020-05-11 00:55:55,2020-05-11 00:55:55-04:00,Official_Forex,"RT @StimulusPKG822: $MARK $WMT Sharecare + Walmart
""We are pleased to partner with Tongyue to add Smart AI capabilities to their Medical Ro…",1,2020-05-11 04:55:55,259
2020-05-11 01:58:47,2020-05-11 01:58:47-04:00,boudin32745287,"RT @StimulusPKG822: $MARK $WMT Sharecare + Walmart
""We are pleased to partner with Tongyue to add Smart AI capabilities to their Medical Ro…",1,2020-05-11 05:58:47,969
2020-05-11 02:03:41,2020-05-11 02:03:41-04:00,charchar19,"Enjoy $10.00 off your first order from Walmart Grocery.
https://t.co/CibTHVCkAA",1,2020-05-11 06:03:41,198
2020-05-11 02:36:31,2020-05-11 02:36:31-04:00,Ben22166,"@supaned Ah really? That's great! Would be a pleasure to meet him. Does he still work for LM, now WMT or has he moved?",1,2020-05-11 06:36:31,289
2020-05-11 08:12:05,2020-05-11 08:12:05-04:00,Quantum_King_,@burger_WMT Good luck to them 😂,1,2020-05-11 12:12:05,3298
2020-05-11 09:21:20,2020-05-11 09:21:20-04:00,jamieholladay,"Enjoy $10 off your first order from Walmart Grocery.
https://t.co/3H9fAoC2Xf",1,2020-05-11 13:21:20,551
2020-05-11 09:26:32,2020-05-11 09:26:32-04:00,Goge6_,"The scenes of everyday life in WMT titles are always so delightful to watch. The expressions, gestures and overall movements of characters feel so natural and realistic. Little details like characters putting the mug aside before continuing the conversation, are very nice too. https://t.co/wRyOQaWb9f",1,2020-05-11 13:26:32,1106
2020-05-11 09:29:31,2020-05-11 09:29:31-04:00,JigSaw_Gamer_YT,"Enjoy $10.00 off your first order from Walmart Grocery.
https://t.co/KWp3ejZaH4",1,2020-05-11 13:29:31,408
2020-05-11 10:03:43,2020-05-11 10:03:43-04:00,keith_market,"Dow movers-weak financials and Boeing stock vs strong technology and consumer staple sectors.

TOP 
Intel Corp.  $INTC  60.54+1.46%
Walmart Inc. $WMT  123.98+0.85%
Merck &amp; Co. Inc. $MRK  77.04+0.84%
Pfizer Inc. $PFE  37.53+0.82%
Walgreens Boots Alliance Inc. $WBA  41.87+0.47%",1,2020-05-11 14:03:43,146
2020-05-11 10:18:45,2020-05-11 10:18:45-04:00,jennpedia,"RT @StimulusPKG822: $MARK $WMT Sharecare + Walmart
""We are pleased to partner with Tongyue to add Smart AI capabilities to their Medical Ro…",1,2020-05-11 14:18:45,902
2020-05-11 11:00:29,2020-05-11 11:00:29-04:00,Dan_Elliott88,"Above tweet #UMC #NGUMC #NYAC #WMT 

As pastors we are called to love and serve our congregations. It sucks to be so far away from our people for so long, but I would rather extend distancing and be able to celebrate a reunion with my people, not officiate a series of funerals.",1,2020-05-11 15:00:29,149
2020-05-11 11:12:33,2020-05-11 11:12:33-04:00,mridul_wmt,"PPP Loan Developments: Only $120 Billion Left, Favorable Forgiveness Guidance from SBA and IRS Tax Pitfall https://t.co/b8tFLpLy6h https://t.co/YUKu6mbH52",1,2020-05-11 15:12:33,338
2020-05-11 11:51:02,2020-05-11 11:51:02-04:00,Gambiste1,"RT @StimulusPKG822: $MARK $WMT Sharecare + Walmart
""We are pleased to partner with Tongyue to add Smart AI capabilities to their Medical Ro…",1,2020-05-11 15:51:02,4933
2020-05-11 11:51:38,2020-05-11 11:51:38-04:00,dukesealman,"@Blues_Traders @Gambiste1 $WMT

they've upped their game w this #COVID

very impressed w $wmt response",1,2020-05-11 15:51:38,179
2020-05-11 12:18:41,2020-05-11 12:18:41-04:00,Matt_Cochrane7,"4/ Fisher points out that some companies see great success w/ innovative cost-cutting strategies. This can come in different ways, but I first think of software cos that make back office functions more efficient and Sam Walton's ingenuity in cutting costs at $WMT. https://t.co/J9ZcM9XMpq",1,2020-05-11 16:18:41,9769
2020-05-11 12:19:44,2020-05-11 12:19:44-04:00,TweetsWealth,RT @Matt_Cochrane7: 4/ Fisher points out that some companies see great success w/ innovative cost-cutting strategies. This can come in diff…,1,2020-05-11 16:19:44,151
