,ID,Created,User_id,User_name,User_flr,Text
0,1254198187226783747,2020-04-25 23:58:44,1251656031576481792,DUMPSTERTRUFFL3,114,@MARVNEWS1 Do NOT GOOG THIS !!!!!
1,1254197959157256193,2020-04-25 23:57:49,132661402,CoffeeAdd1ct,260,@realDonaldTrump Have a teaspoon of concrete and harden up buttercup! You’re waaaay to sensitive to be an effective leader! Goog God man; pull yourself together. (And btw...I actually was being sarcastic about having a teaspoon of concrete)
2,1254197934628847617,2020-04-25 23:57:44,121961272,kimpall,1355,"@kettlecorn @downtohoerth if we're playing blame-conjecture, it probably doesn't help that Quest's a closed platform and even if Goog wanted to do it, they'd need permission. So boo FB too. :-/"
3,1254196400243404800,2020-04-25 23:51:38,575798472,thejoefloyd,1853,"1/This coming week has the potential for a big stock market move. The 5 largest US public companies all report earnings this week. These 5 stocks have driven the sharp rebound in the S&amp;P and Nasdaq given their disproportionate weighting. They are $AAPL, $AMZN, $MSFT, $GOOG, $FB."
4,1254196396376408064,2020-04-25 23:51:37,1254193379061235715,HafizIk37186134,1,@ur_gwrl2 Goog
5,1254196282853384193,2020-04-25 23:51:10,897286831770918912,CurtPetersWG02,434,"@RaoulGMI @mohsen_ghajar I don't understand why you think equities will crash when UST yields are neg?  If a firm like MSFT or GOOG  has near monopoly position, shouldn't stk price go up with neg discount factor?"
6,1254195980674752512,2020-04-25 23:49:58,277002655,andriwmr,259,excellent product i love it very much i recommend it to everyone very goog for me it is sfull the best software https://t.co/ILQzIieNRZ
7,1254195178241433607,2020-04-25 23:46:46,347413196,eduyac58,119,Goog fried or boy friend? https://t.co/JutaBGA01c
8,1254194972489928704,2020-04-25 23:45:57,702886060343185408,ronald_sailors,892,@dumptrump33 A goog man!
9,1254194451834122241,2020-04-25 23:43:53,277002655,andriwmr,259,@webcheckwriter excellent product i love it very much i recommend it to everyone very goog for me it is sfull the best software
10,1254192971462979585,2020-04-25 23:38:00,18649572,eleventymillion,525,Goog gonna get sick of me.
11,1254191058377990145,2020-04-25 23:30:24,4785888338,HayleyMeraz,558,"RT @FranceGT_: Goog news baby, I never lose"
12,1254190775547633664,2020-04-25 23:29:17,313236905,jarila111,411,"RT @TAtrades: Taking chart requests for tonight, so list any requests you have below! 

$spx $spy $iwm $qqq $work $wynn $wmt $roku $tsla $t…"
13,1254190409145700354,2020-04-25 23:27:49,3272995532,Sngk_tys_bot,9,Goog Night
14,1254189762170085376,2020-04-25 23:25:15,302674240,gzbenso,24,AT&amp;T continues to shed TV subs with HBO Max launch on horizon – Digital TV Europe $viac $cmcsa $dis $nflx $aapl $t $sne $roku $amzn $disca $lgf $twtr $fox $disca $fb $goog $snap $stx $mgm https://t.co/7OQ9Iv2Kav
15,1254189591352864768,2020-04-25 23:24:34,15800652,mediaentourage,1332,@johnbattelle @johnbattelle I hedge my bet. GOOG.
16,1254189470611628032,2020-04-25 23:24:06,709584842330140672,Davidnutt19,264,"⭐️Fibonacci Retracements NEW VIDEO!!
*
https://t.co/KyJjmBXSyS
*
*
#fibonacci #fibonacciretracement #stocks #stockmarket #finance #daytrade #daytrading #trader
$SPY $SPX $QQQ $TVIX $VIX $FB $TWTR $USO $GUSH $DRIP $GOOG $JNUG $UGAZ https://t.co/vM8YupR8fZ"
17,1254188303114473478,2020-04-25 23:19:27,14600116,johnbattelle,264640,"Zoom is past 300mm daily users. When I wrote this last week, it was 200mm. Can anyone catch it? Don't matter, someone may buy it. If it's FB or GOOG - here come the ads.  https://t.co/mUtBzXHwTS"
18,1254185631057686528,2020-04-25 23:08:50,301448061,kelsliger,934,"I walked almost 8kms today with my boys and Donna. It felt really goog. I need to do this more often and get myself back into shape again @ Hamilton, Ontario https://t.co/FTucDfVLAU"
19,1254184923558113281,2020-04-25 23:06:02,921422842406850560,FranceGT_,260,"Goog news baby, I never lose"
20,1254183397951299584,2020-04-25 22:59:58,1241638648799322112,Quynhbuom,1,@DNPthree @TSM_Chica Goog
21,1254182409454542848,2020-04-25 22:56:02,14198565,noahsmark,250,"@rakyll I think that’s why the goog c++ style guide agrees: “In particular, do not use unsigned types to say a number will never be negative. Instead, use assertions for this.”"
22,1254178437134086144,2020-04-25 22:40:15,1254021587449212928,sensor_el,3,Is now a good time to invest in #stocks ? #investing #idiot #covidcrash $goog $penn $wynn
23,1254177961453989888,2020-04-25 22:38:22,946271245661818880,CruellsMir,192,@MasRoig The goog fight
24,1254176268322435078,2020-04-25 22:31:38,2606660076,suwandedangyem,1233,"🌹🌹🌹🌹Goog morning,🌹🌹🎈 https://t.co/bdwuPo9uWg"
25,1254175598437638147,2020-04-25 22:28:58,1029292222196461569,TEARS4MINHO,1803,@minhomaricon Goog.
26,1254175385518030864,2020-04-25 22:28:08,52126417,SharePlanner,10687,"NEW VIDEO DROPPED! Stock Market Crash Update #10: When Will The Stock Market Crash Again!? $SPY $IWM $AMZN $AAPL $QQQ $VIX $GOOGL $GOOG $FB 

https://t.co/Slam1feES1"
27,1254175366576353280,2020-04-25 22:28:03,1083732469780639744,JamesOwenthe3rd,165,"@TicTocTick Let me help you not get ducked this week.

The Fed is bailing everything out.  What more do you need to know?

buy MOMO  until your hands bleed $GOOG $AMD $TSLA $AMZN $TLRY $SPCE $INO"
28,1254174367124086784,2020-04-25 22:24:05,1083022017480151040,ShalomLamm,31,"Alphabet Chief Executive Sundar Pichai's 2019 compensation tops $280 million, more than 1,000 times the company's median salary https://t.co/X2D9WWaq1d https://t.co/0OdnwzXvKb"
29,1254174178430693376,2020-04-25 22:23:20,1043594503469187072,USMC_1982,177,"Who's your #1 watch for earnings this week? $MSFT $GOOG $AMZN $FB...mine is $MSFT

#tradingalerts #trading #tradingstocks #stockmarket #options #verticalspreads #stockstowatch #verticalcall #verticalput"
